Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
76,854912,1/29/2010,Congressman Lois Capps,Constituent(b!<5)    writes regarding the difficulties he’s experiencing when traveling by air.,,,,,,,,,,,
77,852814,1/9/2010,Congressman Michael E. Capuano,Waiver fotj(b)(6>     j-l visa.,,,,,,,,,,,
78,853727,1/19/2010,Congressman Dennis A. Cardoza,"(bKib    is seeking replacement of his N-565, Citizenship Certificate.",,,,,,,,,,,
79,853877,1/20/2010,Congressman Dennis A. Cardoza,Re a 1-765 case,,,,,,,,,,,
80,854048,1/22/2010,Congressman John Carter,E-2 visa,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,852829,1/9/2010,Senator Robert P. Casey,1 seeks status of his immigration case.,,,,,,,,,,,
83,854856,1/29/2010,Senator Robert P. Casey,Customer would like her husband’s request for Form 1-601 be expedited.,,,,,,,,,,,
84,852636,1/7/2010,Congressman Kathy Castor,  regarding information about a 1-485.,,,,,,,,,,,
85,854273,1/25/2010,Congressman Kathy Castor,Requests that DHS waive immigration fees for Haitian people who qualify for TPS,,,,,,,,,,,
86,854522,1/27/2010,Congressman Kathy Castor,A USC mother is attempting to transport her 8 year old USC child out of Haiti.,,,,,,,,,,,
87,852201,1/4/2010,Senator Saxby Chambliss,Supports the City of Kingsland's grant application for the Staffing for Adequate Fire and Emergency Response Program.,,,,,,,,,,,
88,852486,1/6/2010,Senator Saxby Chambliss,Re(b)(6)    1-765.,,,,,,,,,,,
89,852600,1/7/2010,Senator Saxby Chambliss,Writes on behalf of citizenand her reauest to have her maiden name changed in CIS' files so that she can receive her driver's license by 1/15/2010. She will be fired from her job if she is unable to renew her license by next Friday.,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,852670,1/8/2010,Senator Saxby Chambliss,Status of 1-601.,,,,,,,,,,,
93,853839,1/20/2010,Senator Saxby Chambliss,"Writes on behalf of a consituent, <bN6>    who wrote with concerns over the possible revocation of his security clearance.",,,,,,,,,,,
94,854898,1/29/2010,Senator Saxby Chambliss,Workflow can be deleted,,,,,,,,,,,
95,853929,1/21/2010,Congressman William Lacy Clay,(b)(t9    filed 1-130 petition for his son/b)(6),,,,,,,,,,,
96,854345,1/26/2010,Congressman William Lacy Clay,"(b)(6)    ittempting to immigrate her family members to the United States after Haitian earthquake her daughter (b)(6) (b)(0)    mother-in-law. (b>(6)      sister-in-law, (b)(6)    and nephew, (b)(6>",,,,,,,,,,,
97,854913,1/29/2010,Congressman Howard L. Coble,Customer is requesting assistance with a visa for her sister-inlaw. Her husband needs a Kidney transplant and his sister may be a match.,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,852385,1/6/2010,Senator Tom A. Cobum,Requests copies of fusion center product reviews and an accounting of grant monies from DHS in support of fusion centers.,,,,,,,,,,,
101,852774,1/8/2010,Congressman Mike Coffman,Writes regarding the situation of former ICE agent,,,,,,,,,,,
102,853939,1/21/2010,Congressman Stephen I. Cohen,Seeks status of 1-601 application,,,,,,,,,,,
103,853090,1/12/2010,Senator Susan M. Collins,"Requests information regarding DHS’s ability to administer and oversee Recovery Act funds, especially in light of issues raised in the recent DHS IG report.",,,,,,,,,,,
104,854013,1/22/2010,Senator Susan M. Collins,reeardins? J-lvisa,,,,,,,,,,,
105,854328,1/26/2010,Congressman Gerry Connolly,Status of an 1-601/I-290B,,,,,,,,,,,
106,854879,1/29/2010,Congressman John Conyers,Request that the Administration designate Haiti for TPS,,,,,,,,,,,
107,852710,1/8/2010,Senator Bob Corker,Status of 1-601.,,,,,,,,,,,
108,852942,1/11/2010,Senator Bob Corker,re the status of an K-l visa,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,853266,1/13/2010,Senator Bob Corker,Re an 1-90 for Simon Jacob.,,,,,,,,,,,
112,854462,1/27/2010,Senator Bob Corker,ConstituentlbK6t    is requesting Information on the status of her N-400. She missed two scheduled appointments for fingerprints.,,,,,,,,,,,
113,854670,1/28/2010,Senator Bob Corker,closed,,,,,,,,,,,
114,854671,1/28/2010,Senator Bob Corker,Customer would like the status of a Form 1-601 application.,,,,,,,,,,,
115,854681,1/28/2010,Senator Bob Corker,CDJ 1-601,,,,,,,,,,,
116,853231,1/13/2010,Senator John Cornyn,"(bK6)    file immigration form for his mother, Ms. (b}(6)",,,,,,,,,,,
117,853422,1/14/2010,Congressman Jim Costa,Status of an 1-130,,,,,,,,,,,
118,854837,1/29/2010,Congressman Jim Costa,The customer would tike the status of her husbands CDJ 1-601 waiver. She would also like this case be expedited.,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,854884,1/29/2010,Congressman Jim Costa,re an CDJ/I-130,,,,,,,,,,,
