DeptID,EOP,ExecDepartment,Independent,SubBureau,AgencyID,Agency,DateofCreation,Statute,Sub-agency bureaus,Employees,Commission,Commissioners/Board Members,QuorumRules,QuorumNumber,PAS,NA,SchC,PA,XS,Agency-specific personnel,Citizen of US,Civilian,Geographic,Demographic,Expertise,Conflict of Interest ,Congressional Input,Party Balancing,Fixed Terms,Term Length,Staggered Terms,For Cause,Double for Cause,Bureau Fixed Term,ServePresident,Continuation Replacement,Acting Service Rules,PAS Head,President Selects Chair,Elected Head,Outside Head,Chair Removal,No OMB Budget Review,No OMB Rule Review,No OMB Communication Review,Independent Litigating,Independent Funding,Committeesconfirmingapps,Reporting Requirements,Number of Committees,Reporting Committees,CIO,IG,CFO,Sunshine,Review Commissions,Advisory Commissions,Establish Advisory Commissions,Outside Approval,Legislative Veto,Rulemaking,Economically Significant Rule,Hearing-based Rulemaking,Adjudication,Adjudication(APA),ALJs (Association),ALJs (Breyer)
10000,0,1,0,0,10000,Department of Labor,3/4/1913,29 U.S.C. 551-600,10,16298,0,.,.,,19,29,105,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"1, 3","Health, Education, Labor, and Pensions; Homeland Security and Governmental Affairs (IG sequential referral with HELP); Veterans Affairs (Assistant Sec VETS joint referral with HELP)",0,0,,1,3,2,0,0,0,0,0,0,1,1,0,0,1,1,1
11000,0,1,0,0,11000,Department of State,7/27/1789,22 U.S.C. 2651-2734a,12,29832,0,.,.,,222,36,125,3,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1, 2, 3",Foreign Relations; Homeland Security and Governmental Affairs (IG referred sequentially with FR); Intelligence (Assistant Secretary-Intelligence and Research),20,6,S. Foreign Relations; S. Appropriations; S. Judiciary; H. Foreign Affairs; H. Appropriations; H. Judiciary,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0
12000,0,1,0,0,12000,Department of the Interior,3/3/1849,43 U.S.C. 1451-1475b,17,77225,0,.,.,,17,30,36,0,8,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1, 2, 5","Energy and Natural Resources (everything else); Environment and Public Works (Assistant Sec (Fish, Wildlife, and Parks), Director Fish and Wildlife Service); Homeland Security and Governmental Affairs (IG sequential referral with ENR); Indian Affairs (IA Assistant Secretary, Chair National Indian Gaming Commission, Special Trustee-American Indians",2,0,,1,3,2,0,0,0,0,0,0,1,1,1,0,1,1,1
13000,0,1,0,0,13000,Department of the Treasury,9/2/1789,31 U.S.C. 301-333,17,106403,0,.,.,,33,23,45,0,0,1,0,0,0,0,0,1,0,.,0,,.,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"1, 4, 5","Banking, Housing, and Urban Affairs (1 Under Secretary, 2 Assistant Secretaries, Comptroller of Currency, Director of Mint, Director of Office of Thrift Supervision, Administrator of Community Development Financial Institution Fund)); Finance (everything else); Homeland Security and Governmental Affairs (IG and IG Tax Administration referred sequentially with Finance); Intelligence (Assistant Sec-Intelligence)",10,4,"S. Banking, Housing, and Urban Affairs; S. Finance; H. Financial Services; H. Ways and Means",1,3,2,0,0,0,0,1,0,1,1,0,0,1,0,0
14000,0,1,0,0,14000,Department of Transportation,10/15/1966,49 U.S.C. 101-727,19,56968,0,.,.,,23,31,41,0,5,1,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,"1, 2, 4, 5","Banking, Housing, Urban Affairs (FTA Administrator); Commerce, Science, and Transportation (everything else); Environment and Public Works (FHA Administrator); Homeland Security and Governmental Affairs (IG sequentially referred with CST)",13,3,"S. Commerce, Science, and Transportation; H. Transportation and Infrastructure; H. Science, Space, and Technology",1,3,2,0,1,1,1,1,0,1,1,0,1,0,1,1
15000,0,1,0,0,15100,Department of Veterans Affairs,7/3/1930,38 U.S.C. 301-322,15,316480,0,.,.,,15,8,9,0,54,0,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,Veterans Affairs; Homeland Security and Governmental Affairs (IG referred sequentially),6,2,S. Veterans Affairs; H. Veterans Affairs,1,3,2,0,0,1,0,0,0,1,1,0,0,0,1,0
20000,0,0,1,0,21300,Environmental Protection Agency,12/4/1970,5 U.S.C. Reorg Plan 3 1970,7,18777,0,.,.,,14,23,29,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Environment and Public Works; Homeland Security and Governmental Affairs (IG sequential referral),0,0,,1,3,2,0,0,0,0,0,0,1,1,1,0,1,1,1
20000,0,0,1,0,21400,Equal Employment Opportunity Commission,7/2/1964,42 U.S.C. 2000e-2000e-17,1,2479,0,5,1,3,6,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,"Health, Education, Labor, and Pensions",2,0,,0,2,0,1,0,0,0,0,0,1,1,0,1,1,1,0
20000,0,0,1,0,21500,Export-Import Bank of the United States,2/2/1934,12 U.S.C. 635-635t,3,401,0,5,1,3,5,0,6,0,0,3,0,0,0,0,1,0,0,1,1,4,1,0,0,0,1,1,0,1,0,0,0,"1, 3",0,0,0,1,"2, 6","Banking, Housing, and Urban Affairs; Homeland Security and Governmental Affairs (IG sequentially referred)",16,9,"S. Banking, Housing, and Urban Affairs; S. Foreign Relations; S. Finance; S. Small Business; S. Appropriations; H. Financial Services; H. Appropriations; H. Ways and Means; H. Small Business",0,3,0,1,0,1,1,1,1,1,,0,0,0,0,0
20000,0,0,1,0,21600,Farm Credit Administration,3/27/1933,12 U.S.C. 1141-1141j; 2241-2277a-14,0,291,0,3,1,2,3,0,3,0,0,2,1,0,0,0,1,1,0,1,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,"3, 5","Agriculture, Nutrition, and Forestry",1,0,,0,2,0,1,0,0,1,0,0,1,,0,0,1,0,0
