"Department","agency"
"Department of Defense","DOD_USUHS"
"Department of Defense","DOD_IMCOM"
"Department of Defense","DOD_WHS"
"Department of Defense","DOD_WHMO"
"Department of Defense","DOD_DeCA"
"Department of Defense","DOD_DFAS"
"Department of Defense","DOD_DLA_Aviation"
"Department of Defense","DOD_DTIC"
"Department of Defense","DOD_NAVY"
"Department of Defense","DOD_NRO"
"Department of Defense","DOD_OIG"
"Department of Defense","DOD_ACE"
"Department of Defense","DOD_OSDJS"
"Department of Education","ED"
"Department of Energy","DOE_BPA"
"Department of Energy","DOE_SPA"
"Department of Energy","DOE_SWPA"
"Department of Energy","DOE_WAPA"
"Department of Energy","DOE_NNSA"
"Department of Energy","DOE_Science"
"Department of Energy","DOE_FERC"
"Department of Energy","DOE_HQ"
"Department of Health and Human Services","DHHS_ACL"
"Department of Health and Human Services","DHHS_NIH"
"Department of Health and Human Services","DHHS_OIG"
"Department of Health and Human Services","DHHS_OS"
"Department of Health and Human Services","DHHS_Medicaid"
"Department of Health and Human Services","DHHS_PHS"
"Department of Health and Human Services","DHHS_ACF"
"Department of Health and Human Services","DHHS_ATSDR"
"Department of Health and Human Services","DHHS_FDA"
"Department of Health and Human Services","DHHS_HRSA"
"Department of Health and Human Services","DHHS_IHS"
"Department of Health and Human Services","DHHS_SAMHSA"
"Department of Health and Human Services","DHHS_CDC"
"Department of Homeland Security","DHS_OHA"
"Department of Homeland Security","DHS_IA"
"Department of Homeland Security","DHS_OPS"
"Department of Homeland Security","DHS_PLCY"
"Department of Homeland Security","DHS_PTO"
"Department of Homeland Security","DHS_ST"
"Department of Homeland Security","DHS_TSA"
"Department of Homeland Security","DHS_USCIS"
"Department of Homeland Security","DHS_USCG"
"Department of Homeland Security","DHS_CPB"
"Department of Homeland Security","DHS_FEMA"
"Department of Homeland Security","DHS_FLETC"
"Department of Homeland Security","DHS_CRCL"
"Department of Homeland Security","DHS_HQ"
"Department of Homeland Security","DHS_ICE"
"Department of Housing and Urban Development","HUD"
"Department of Housing and Urban Development","HUD_EEOC"
"Department of Justice","DOJ_BJA"
"Department of Justice","DOJ_BOP"
"Department of Justice","DOJ_OIG"
"Department of Justice","DOJ_ATR"
"Department of Justice","DOJ_AFP"
"Department of Justice","DOJ_ATF"
"Department of Justice","DOJ_CRT"
"Department of Justice","DOJ_COPS"
"Department of Justice","DOJ_CRS"
"Department of Justice","DOJ_Criminal"
"Department of Justice","DOJ_DEA"
"Department of Justice","DOJ_ENRD"
"Department of Justice","DOJ_EOIR"
"Department of Justice","DOJ_OCDETF"
"Department of Justice","DOJ_EOUSA"
"Department of Justice","DOJ_UST"
"Department of Justice","DOJ_FBI"
"Department of Justice","DOJ_FCSC"
"Department of Justice","DOJ_INTERPOL"
"Department of Justice","DOJ_JMD"
"Department of Justice","DOJ_NCIS"
"Department of Justice","DOJ_NDIC"
"Department of Justice","DOJ_NICIC"
"Department of Justice","DOJ_NSD"
"Department of Justice","DOJ_OARM"
"Department of Justice","DOJ_OIP"
"Department of Justice","DOJ_IA"
"Department of Justice","DOJ_OIPL"
"Department of Justice","DOJ_OJP"
"Department of Justice","DOJ_OLC"
"Department of Justice","DOJ_OLP"
"Department of Justice","DOJ_OLA"
