comid,UltOrg,Affiliate,PACShort
C00670141,Magnolia LNG,"NA",Magnolia LNG
C00677757,Coalition for Renewable Natural Gas,"NA",Coalition for Renewable Natural Gas
C00679902,Canadian Solar,"NA",Recurrent Energy
C00683383,Vivint Solar,"NA",Vivint Solar
C00684506,Calista Corp,"NA",Yukon Kusko PAC
C00686949,Pattern Energy Group,"NA",Pattern Energy Group
C00688606,Equitrans Midstream Corp,"NA",Equitrans Midstream Corp
C30001176,American Energy Alliance,"NA",American Energy Alliance
C70005079,Koch Industries,Koch Industries,Koch Industries
C70005384,Tlingit-Haida Central Council,Tlingit-Haida Central Council,Sealaska Corp
C70005764,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn
C90012212,Tlingit-Haida Central Council,Tlingit-Haida Central Council,Sealaska Corp; Sealaska Corporation                              
C90012543,Tanana Chiefs Conference,"NA",Doyon Ltd
C90013384,Dominick Dalbo,"NA",Dominick Dalbo; Dominick Dalbo                                    
C90015207,Fuels America,"NA",Fuels America
C90016155,American Wind Action,"NA",American Wind Action
