IDs,company_short,company_short_refs,n
20150130-0007; 20150126-0033,Dominion's New Market project,Dominion's New Market project,2
20141124-0010,First Light Power Resources,First Light Power Resources,2
20110803-0010; 20110816-0032,Sabine,Sabine Pipeline; Sabine Pipe Line,2
20110328-0001; 20091224-0037,First Light Power,First Light Power,2
20110218-0028(partial); 20100910-0031(partial),AEP Appalachian Power,AEP Appalachian Power,2
20110119-0081; 20060804-0134,Iroquois Gas Transmission,"Iroquois Gas Transmission; Iroquois Gas Transmission, L.P.",2
20101028-0010,New Brunswick Power,New Brunswick Power Corporation,2
20100915-0009; 20030220-0076,Northern States Power,"Northern States Power; Northern States Power, Company",2
20100617-0026; 20010622-0160,Pacific Gas & Electric,Pacific Gas & Electric,2
20100528-0014(partial); 20091013-0002,Centerpoint,Centerpoint,2
20100308-0001; 20080522-0128,FPL,FPL,2
20090629-0033; 20020621-0395,American Transmission,American Transmission,2
20090209-0096,Florida Power and Light,Florida Power and Light,2
20080722-0158(partial); 20040716-0158,Portlandral Electric,Portland General Electric,2
20080407-0122; 20070905-0024,Ameren,Ameren,2
20080201-0218; 20080118-0302,Broadwalk,Broadwalk Pipeline,2
20080201-0218; 20080118-0302,ABL Land Services,ABL Land Services,2
20080118-0301; 20080118-0302,Gulf Crossing,Gulf Crossing Gas Pipeline Co.; Gulf Crossing Pipeline,2
20070716-0289; 20140606-0010,Dominione Point,Dominion Cove Point; Dominion Cove Point Project,2
20070521-0608; 20070514-0285,Northern Maine Independent System Administrator,Northern Maine Independent System Administrator,2
20060929-0107; 20060922-0026,Bangor-Pacific Hydro Associates Power,Bangor-Pacific Hydro Associates Power,2
20060913-0061; 20060913-0059,Midwestern Gas Transmission,Midwestern Gas Transmission,2
20060628-0020; 20060628-0019,Mystic Developmpent,Mystic Developmpent,2
20040922-0114,Fall River,"Fall River,",2
20040825-0052; 20030221-0290,Enron energy,Enron energy,2
20040604-0047,Enron's Westst Trading,Enron's West Coast Trading,2
20040402-0055; 20040402-0054,Mountainview Power,Mountainview Power,2
20040304-0122,Rough and Ready Hydro,Rough and Ready Hydro,2
20040304-0122,Elaine Hitclicock,"Elaine Hitclicock, Project No. 10058-007 94",2
20030624-0391; 20030623-0174,White River,White River Project,2
20030320-0427; 20020716-0240,SCE&G,SCE&G,2
20020930-0293; 20020930-0272,Northwest Power Services,Northwest Power Services,2
20020930-0231,Sun,Sun Pipe Line Co; Sun Pipe Line Co.right-of-way line project,2
20020813-0022; 20020509-0093,William,William Pipeline; William Gas Pipeline,2
20020717-0161; 20020621-0394,Columbia Gas service,Columbia Gas service,2
20020716-0369; 20020621-0220,Perot Systems,Perot Systems,2
20020716-0144; 20020625-0307,Williamson,Williamson Gas Pipeline co,2
20020510-0250; 20020509-0164,SC Electric and,SC Electric and Gas,2
20020509-0176; 20020403-0704,JDJ,JDJ,2
20020117-0269; 20011221-0257,Federa,Federa,2
20011019-0269; 20011011-0126,California State Power Authority,California State Power Authority,2
20010918-0234; 20011026-0451,Southeastern Regional Transmission Organization,Southeastern Regional Transmission Organization,2
20010821-0203; 20010730-0232,Northwestern,Northwestern Pipeline,2
20010820-0051; 20010710-0048,Midwestration,Midwest Generation,2
20010806-0366; 20010710-0042,National Grid USA,National Grid USA,2
20010716-0189; 20010709-0593,Dynergy,Dynergy,2
20000811-0196; 20000811-0189,Municipal Electric Powe,Municipal Electric Powe,2
20000606-0554; 20000526-0062,Parent companies Enron,Parent companies Enron Corp.,2
20000606-0554; 20000526-0062,el Paso,el Paso Corp.,2
20000606-0554; 20000526-0062,kinder Morgan,kinder Morgan Corp.,2
20000224-0095,Mineral Management Service,Mineral Management Service,2
20181226-0008,Azusa Hydroelectric Power,Azusa Hydroelectric Power Project,2
20181207-0008,Gator Express,Gator Express Pipeline Project,2
20181130-0007; 20181016-0023,Risberg Line,Risberg Line,2
20181109-0007,Driftwood LNG Terminal and,Driftwood LNG Terminal and Pipeline Project,2
20180926-0011; 20181002-0041,Edenville,Edenville Project,2
20180912-0018; 20100617-0022,Saluda Hydroelectric,Saluda Hydroelectric Project; Saluda Hydroelectric Project No. 516,2
20180716-0016; 20180709-0006,Yuba River Development,Yuba River Development Project.; Yuba River Development Project,2
20180411-0025; 20170918-0007,Cove Point's Eastern Market Access,Cove Point's Eastern Market Access Project,2
20180208-0007; 20180202-0013,Lower Village,Lower Village Project,2
20171129-0011; 20171020-0016,Mountaineer Xpress,Mountaineer Xpress Pipeline; Mountaineer Xpress Project,2
20171114-0043,Southeast Market,Southeast Market Pipelines Project,2
20171031-0017,Line 25 pipeline,Line 25 pipeline,2
20171020-0017; 20160614-0010,Gulf Xpress,Gulf Xpress; Gulf Xpress Project,2
20171020-0015; 20160908-0008,NEXUS Gas Transmission pipeline project,NEXUS Gas Transmission pipeline project,2
20160831-0049; 20160719-0029,Smallwood Dam,Smallwood Dam; Smallwood Dam Project,2
20160729-0009; 20160803-0011,Grand Lake's rule curve,Grand Lake's rule curve,2
20151103-0010,Project Number 1256-031,Project Number 1256-031,2
20151103-0008,WB XPress project,WB XPress project,2
20150625-0019; 20180926-0012,AIM,AIM Project,2
20150126-0187; 20150126-0158,Sweet Lake Hydroelectric,Sweet Lake Hydroelectric Project,2
20141229-0087; 20150420-0007,Jordane Liquefaction,Jordan Cove Liquefaction,2
20141218-0037,Clark Canyon Dam,Clark Canyon Dam Project,2
20140618-0037; 20030707-0234,Hydropower,Hydropower Project at Pike Island Locks and Dam; Hydropower Projects,2
20140416-0025,Corpus Christi Liquefaction,Corpus Christi Liquefaction Project,2
20140416-0024; 20140424-0016,Sabal Trail,Sabal Trail Project; Sabal Trail Pipeline,2
20130812-0005,Martin Dam,Martin Dam Project,2
20121024-4003; 20121024-4001,Cove Point Liquefaction,Cove Point Liquefaction Project,2
20120214-0005,Blue Heron Hydro,Blue Heron Hydro,2
20110315-0004,Hydropower project at Mississippi River Lok and Dam No.21,Hydropower project at Mississippi River Lok and Dam No.21,2
20091026-0268; 20090716-0035,Expansion of raw water intake system from Lake Rhodhiss,Expansion of raw water intake system from Lake Rhodhiss,2
20090811-0007; 20090716-0037,Lock and Dam No. 7 Hydro,Lock and Dam No. 7 Hydro Project,2
20090508-0081; 20090507-0210,Silverocke on Lewis Smith Lake,Silverock Cove on Lewis Smith Lake,2
20080814-0227; 20080814-0224,Amendment of,Amendment of Project Boundary for Holyoke Project FERC 2004-249,2
20061214-0111; 20061213-0029,Stayton Hydroelectric,Stayton Hydroelectric Project,2
20061002-0055,Lake Chelan Hydroelectric,Lake Chelan Hydroelectric Project,2
20060630-0079; 20060628-0011,Rulemaking under section 1233 of the,Rulemaking under section 1233 of the,2
20040617-0076; 20040528-0075,Central New Jersey Expansion,Central New Jersey Expansion Project,2
20040217-0025; 20040202-0228,MountainView,MountainView Project,2
20040202-0154,Hydroelctric,Hydroelctric Project,2
20030801-0129; 20030801-0125,Elba Island Expansion,Elba Island Expansion Project,2
20020716-0142; 20020702-0064,Proposed Southern Pines,Proposed Southern Pines,2
20020509-0158,St. Lawrence,St. Lawrence - FDR Project,2
20020117-0169; 20020129-0189,Gaspressor Station,Gas Compressor Station,2
20011019-0138; 20011002-0661,Phase III,Phase III Project / HubLine Project,2
20010917-0265,Maritimes and Northeast Phase III/Hubline,Maritimes and Northeast Phase III/Hubline Project,2
20010815-0633; 20010806-0611,A.J. Allen Power Plant,A.J. Allen Power Plant,2
20010806-0727; 20010917-0159,Idols Hydrostation,Idols Hydrostation,2
20000828-0105,Traftsville Hydroelectric project,Traftsville Hydroelectric project,2
20000515-0097; 20000828-0134,Beaverton Hydro,Beaverton Hydro Project No.5308; Beaverton Hydro Project,2
20000331-0267; 20000323-0126,Hydroelectic Power,Hydroelectic Power Project,2
20000331-0267; 20000323-0126,Pennsylvania,Pennsylvania(project No.7041),2
20171004-0006; 20170829-0016,Northeast Supply Enhancement project,Northeast Supply Enhancement project,2
20170714-0111,Rover natural gas pipeline,Rover natural gas pipeline,2
20170622-0013,Jordane LNG and Pacificnector,Jordan Cove LNG and Pacific Connector Gas Pipeline projects,2
20170109-0048,Atlantic Bridge pipeline project,Atlantic Bridge pipeline project,2
20161014-0011; 20150610-0008,Broad Run Expansion project,Broad Run Expansion project,2
20160926-0009; 20160624-0017,Broad Run Expansion,Broad Run Expansion Project,2
20160831-0008,underground natural gas storage project,underground natural gas storage project,2
20150402-0009,Proposed NorthEast,Proposed NorthEast,2
20150323-0071; 20150317-0070,Flow proposal on the Merced River below the new Exchequer Hydroelectric,Flow proposal on the Merced River below the new Exchequer Hydroelectric Project,2
20141124-0010,Housatomic River,Housatomic River Project,2
20140311-0010,Dominione Point Liquefaction,Dominion Cove Point Liquefaction Project,2
20131217-0024,Admiralty Inlet Pilot Tidal,Admiralty Inlet Pilot Tidal Project,2
20121212-0004,Independent System Operator,Independent System Operator,2
20121212-0004,AES Huntington Beach,AES Huntington Beach,2
20101006-0003,10482-014,10482-014,2
20101006-0003,10481-064,10481-064,2
20101006-0003,9690-106,9690-106,2
20100915-0009; 20100910-0035,Chippewa Reservoir,"Chippewa Reservoir Project, FERC No. 8286; Chippewa Reservoir Project",2
20100910-0037,Smith Mountain,Smith Mountain Project P-2210,2
20091002-0056; 20090812-0014,Conowingo Hydroelectric,Conowingo Hydroelectric Project; Conowingo Hydroelectric Project No. 405-087,2
20090209-0096,Gulf Island,Gulf Island - Deep Rips Hydro Project FERC number 2283 Recreation Plan and Land and Trails Management Plan,2
20081029-0112; 20081016-4009,Sentinel Explansion,Sentinel Explansion Project,2
20080813-0281; 20080523-0045,Bradwood Landing LNG project,Bradwood Landing LNG project,2
20080730-0132; 20080623-0130,Fort Necessity Gas Storage,Fort Necessity Gas Storage Project,2
20080102-0299; 20071217-0183,Algonquin Gas Transmission Proposed,Algonquin Gas Transmission Proposed Project,2
20070726-0009; 20070614-0167,Texas Eastern Times II,Texas Eastern Times II Project,2
20070625-0111; 20060802-0104,Phoenix Expansion,Phoenix Expansion Project,2
20070306-0125; 20070130-4006,Williams/Transco Sentinel Expansion,Williams/Transco Sentinel Expansion Project,2
20070119-0214; 20070112-4004,Broadwater Floating Storage Regasification Unit,Broadwater Floating Storage Regasification Unit,2
20061115-0318; 20061103-0139,Heidlersberg Gaspressor Station,Heidlersberg Gas Compressor Station,2
20060913-0061; 20060913-0059,Eastern Extension,Eastern Extension Project,2
20060628-0020; 20060628-0019,Eligibility for a Reliability Must Run,Eligibility for a Reliability Must Run,2
20060616-0246(partial); 20060616-0245(partial),Williams NW,Williams NW Pipeline,2
20060613-0025; 20060613-0024,Gas compression station on the Simone Farm,Gas compression station on the Simone Farm,2
20040625-0018; 20040625-0013,Upper American River,Upper American River Project,2
20040206-0193; 20030821-0051,Weaver'ser LNG,Weaver's Cover LNG Project,2
20031030-0022; 20031030-0018,hydroelectric project,hydroelectric project,2
20030929-0019; 20030905-0168,Megawatt Box Canyon,Megawatt Box Canyon Project,2
20030822-0320; 20030822-0319,experiencing difficulties with the restoration of his property re the Guardian,experiencing difficulties with the restoration of his property re the Guardian Pipeline and requests FERC's,2
20030507-0265; 20030313-0209,Grasslands,Grasslands Pipeline project; Grasslands Pipeline Project,2
20030320-0395; 20030320-0394,Green,Green Pipeline Project,2
20030220-0077; 20030211-0007,Low Line Midway Hydroelectric,Low Line Midway Hydroelectric Project,2
20021218-0413; 20021216-0241,Proposed pipeline of El Paso Global LNG,Proposed pipeline of El Paso Global LNG Co.,2
20021206-0098; 20021204-0086,The Patriot Extension,The Patriot Extension Project,2
20020930-0293; 20020930-0272,Sardis Lake Hydro,Sardis Lake Hydro Project,2
20020910-0260; 20020903-2095,Louisiana Public Servicemission's proposal to equalize all the energy charges over the Entergy system,Louisiana Public Service Commission's proposal to equalize all the energy charges over the Entergy system,2
20020910-0160; 20020910-0109,Florida Gaspressor Station #27,Florida Gas Compressor Station #27,2
20020717-0161; 20020621-0394,Columbia Gas pipeline upgrading,Columbia Gas pipeline upgrading,2
20020716-0144; 20020625-0307,Proposed gas pipeline in  Juniper Hillsntry Club Property,Proposed gas pipeline in  Juniper Hills Country Club Property,2
20020117-0156; 20011129-0056,Cove Point liquefied natural gas facility,Cove Point liquefied natural gas facility,2
20010726-0102; 20010726-0100,FGT,FGT,2
20010709-0434; 20010709-0433,Granite Ridge Facility,Granite Ridge Facility,2
20010709-0365; 20010627-0096,Badgerrating Plant,Badger Generating Plant,2
20001024-0436; 20001017-0122,Sabine River Authority of Texas,Sabine River Authority of Texas Project,2
20181204-0007,Next Decade,Next Decade,1
20181119-0028(partial),St. Germain ATV Club,St. Germain ATV Club,1
20181002-0041,The Lake Associations,The Lake Associations,1
20180926-0011,Lake Association's,Lake Association's,1
20180725-0462,ALLETE,ALLETE,1
20180716-0016,Yubanty Water Agency',Yuba County Water Agency',1
20180709-0006,Yubanty Water Agency,Yuba County Water Agency,1
20180309-0011,Columbia Basin Electricperative,Columbia Basin Electric Cooperative,1
20180226-0015(partial),Redland Sand,Redland Sand,1
20180124-0067,Murray,Murray,1
20180110-4005(partial),ABC Solar,ABC Solar,1
20171108-0006,Advanced Hydropower,"Advanced Hydropower,",1
20171106-0035,Boym Hydro.,Boym Hydro.,1
20171020-0016,TransCanada/Columbia,TransCanada/Columbia Pipeline Group,1
20171020-0011,Energy Transfer Partners,Energy Transfer Partners,1
20171017-0012,Eagle LNG Partners Jacksonville,Eagle LNG Partners Jacksonville,1
20171017-0008,Eagle LNG,Eagle LNG,1
20171010-0009,Big Rivers Electric,Big Rivers Electric Corporation,1
20170927-0025,Empire,Empire Pipeline,1
20170809-0032,Jordane LNG,Jordan Cove LNG,1
20170802-0030,Pacific Gas and Electric Co,Pacific Gas and Electric Co,1
20170714-4014(partial),The Frazier Quarry,"The Frazier Quarry,",1
20170508-0011(partial),Lake Norman Touchless Boaters,Lake Norman Touchless Boat Covers,1
20170201-0008,Santeeper Electricperative,Santee Cooper Electric Cooperative,1
20170125-0026,Alaska Federal Land Fees Group,Alaska Federal Land Fees Group,1
20160927-0010,Bear island Paper WB,Bear island Paper WB,1
20160713-0007,Curry Water Authority,Curry Water Authority,1
20160519-0010,Veresen,"Veresen,",1
20160506-0006,Modesto Irrigation District,Modesto Irrigation District,1
20160506-0006,Turlock Irrigation District,Turlock Irrigation District,1
20160106-0021,Absaroka,Absaroka,1
20151029-0040,Blue Ridge Landdservancy,Blue Ridge Landd Conservancy,1
20150828-0039,Dominium,Dominium,1
20150727-0012,DB Farms,"DB Farms,",1
20150625-0019,Algonquinstruction,Algonquin Construction,1
20150204-0010,Grand River Power,Grand River Power,1
20150129-0031,Spectra Energey,Spectra Energey,1
20140701-0018,ISO NE,ISO NE,1
20140618-0037,Pike Island,Pike Island,1
20140425-0014,Trunkline LNG Export,"Trunkline LNG Export,",1
20140425-0014,BG Group,BG Group,1
20140425-0014,Lake Charles Export,"Lake Charles Export,",1
20140416-0019,Arclight Capital Partners,"Arclight Capital Partners,",1
20130905-0009,Minor Hydro Power,Minor Hydro Power,1
20130725-0017,Silver Merger Sub,"Silver Merger Sub,",1
20130725-0017,NV,NV,1
20130725-0017,Sierra Pacific Powerr,Sierra Pacific Powerr,1
20130624-0010,Aignn&tuin Power,Aignn&tuin Power,1
20130528-0023,Cameron LNG,Cameron LNG,1
20120619-0018,Fairlawn Hydroelectric,Fairlawn Hydroelectric,1
20110328-0002,The Atlantic Windnection,The Atlantic Wind Connection,1
20101119-0026,Portland Electric,Portland Electric,1
20101119-0025,North Carolinamunity Sailing and Rowing,North Carolina Community Sailing and Rowing,1
20101119-0024,Overlook Neighborhood,Overlook Neighborhood,1
20101028-0006,Southern LNG,Southern LNG,1
20100826-0004,Evergreen Shasta Power,Evergreen Shasta Power,1
20100804-0016,Glen Falls Hydro,Glen Falls Hydro,1
20100525-0027,L.S. Starrett,L.S. Starrett,1
20100525-0025,Northern Illinois Hydropower,"Northern Illinois Hydropower,",1
20100128-0128,Tres Amigas,Tres Amigas,1
20091125-0034(partial),Green Island Power Authority,Green Island Power Authority,1
20091123-0149,Gresham,Village of Gresham,1
20090918-0147(partial),Nelson,Nelson,1
20090629-0036,NC Flatwater Outfitters,NC Flatwater Outfitters,1
20090629-0028,Brazos River Authority,Brazos River Authority,1
20090526-0034,Davis Hydro,Davis Hydro,1
20090515-0054,Riverbank Power,Riverbank Power Corporation,1
20090421-0311,El Dorado Irrigation District,El Dorado Irrigation District,1
20090320-0047,Southwestern Electrical Power,Southwestern Electrical Power,1
20090306-0069,Brookfield Renewable Power,Brookfield Renewable Power,1
20081125-0050,Bangor Water District,Bangor Water District,1
20081113-0085,Prairie Power,"Prairie Power,",1
20080930-0178(partial),Lake Murray Docks,"Lake Murray Docks,",1
20080919-0132,Somerset Gas Gathering of Pennsylvania,Somerset Gas Gathering of Pennsylvania,1
20080806-0190,Crane and,Crane and,1
20080806-0185(partial),Clearville Landowners Property Group,Clearville Landowners Property Group,1
20080731-0199,Delawarenty Electricperative,Delaware County Electric Cooperative,1
20080702-0298,City of Hastings,City of Hastings,1
20080626-0001,Energie Group,Energie Group,1
20070530-0035,Continentaleneration Services,Continental Cogeneration Services,1
20061218-0053,Red Shield Environmental,"Red Shield Environmental, L.L.C.",1
20060613-0020(partial),Electric Plant Board of the City of Augusta,Electric Plant Board of the City of Augusta,1
20060613-0018(partial),Saludanty Water & Sewer Authority,Saluda County Water & Sewer Authority,1
20040723-0066,Pan American Power Solutions,Pan American Power Solutions,1
20040720-0242,Sellers of,Sellers of,1
20040709-0058,WYRULEC,WYRULEC,1
20040610-0115,Portersville Rival Group,Portersville Rival Group,1
20040610-0027,William Skea dba Batavia Development,William Skea dba Batavia Development Corporation,1
20040512-0211,Liquid natural gas terminal,Liquid natural gas terminal,1
20040423-0071,Northeastration Service,Northeast Generation Service,1
20040305-0198,Cranberry,Cranberry Pipeline Corporation,1
20040225-0057,Edison,Edison,1
20031224-0160,Local,Local Gas,1
20031223-0684,Regional Tranmission Organization,Regional Tranmission Organization,1
20031205-0131,Galeton,"Galeton, Co.",1
20031125-0036(partial),Grand Harbour LTD.,Grand Harbour LTD.,1
20031125-0034,Questsultants,"Quest Consultants,",1
20030801-0191,M&J Developers,"M&J Developers,",1
20030313-0209,Williston Basin Interstate,Williston Basin Interstate Pipeline,1
20030313-0197,Natura Manufacturing,Natura Manufacturing,1
20030313-0144,Central Maine Prower,Central Maine Prower,1
20021018-0222,Bedford,Bedford,1
20021008-0082,East Tennesse,East Tennesse,1
20020815-0570,Lake Lillinonah Authority,Lake Lillinonah Authority,1
20020807-3145,Kelly Springfield Plant,Kelly Springfield Plant,1
20020716-0237,Eerie Hydropower,Eerie Hydropower LP,1
20020625-0460,Upper Peninsula Power,Upper Peninsula Power,1
20020604-0222,Arrowhead Yach Club,Arrowhead Yach Club,1
20020509-0091,CMS Trunkline LNG,CMS Trunkline LNG,1
20020419-0155,Delawareral Assembly,Delaware General Assembly,1
20020403-0701,Pine Bluff Sand & Gravel,Pine Bluff Sand & Gravel,1
20020214-0732,Westst,West Coast,1
20020214-0730,Mecklenburg Electricperative,Mecklenburg Electric Cooperative,1
20020214-0728,American Ref-Fuel,American Ref-Fuel,1
20020205-0552,Niobrara Electric Association,Niobrara Electric Association,1
20020129-0194,Warwick Town Board,Warwick Town Board,1
20020129-0053,Maritimes & Northeast,"Maritimes & Northeast Pipeline, L.L.C. and Algonquin Gas Transmission",1
20011221-0261,Revezzi Farm,Revezzi Farm,1
20011217-0221,Louisiana Public Servicemission,Louisiana Public Service Commission,1
20011019-0304,Maryland Public Servicemission,Maryland Public Service Commission,1
20011018-0299,PNM,PNM,1
20011016-0225,St Lawrence Power,St Lawrence Power,1
20010918-0234,North Carolina Utilitiesmission,North Carolina Utilities Commission,1
20010917-0159,JLH Hydro,JLH Hydro,1
20010820-0019,Utah Associated Municipal Power Systems,Utah Associated Municipal Power Systems,1
20010709-0377,Algonquin and Texas Eastern Authority,Algonquin and Texas Eastern Authority,1
20010709-0367,Ohio Pennsylvania Landowners Association,Ohio Pennsylvania Landowners Association,1
20010709-0272,Pascoag Electric,Pascoag Electric,1
20010705-0187,Delta Power,"Delta Power,",1
20010705-0046,Norton,Norton,1
20010627-0136,Reynolds Plantation,Reynolds Plantation,1
20010116-0155,Northeast Utilities,Northeast Utilities,1
20010116-0155,Northeastration,Northeast Generation,1
20001229-0113,Lay Lake home Owners & Boat Owners,Lay Lake home Owners & Boat Owners,1
20001229-0060,Carolina Power & Light,Carolina Power & Light,1
20001229-0057,Gulf Trace Homeowners Association,Gulf Trace Homeowners Association,1
20001228-0438,South Carolina Electric and gas,South Carolina Electric and gas,1
20000926-0368,Kootznoowoo,Kootznoowoo,1
20000918-0277,Pennsylvania Landowners Association,Pennsylvania Landowners Association,1
20000828-0229,Flo Rida Progress,Flo Rida Progress,1
20000828-0027,Carolina Power& Light,Carolina Power& Light,1
20000811-0314,Montana Power,Montana Power,1
20000811-0256,Burkhalter Engineering,"Burkhalter Engineering,Inc.",1
20000803-0321,Winsconsin,Winsconsin Gas,1
20000330-0181,U.S Army,U.S Army Corp.,1
20000228-0775,Lake of Ozark's,Lake of Ozark's,1
20181107-0007,Brookfield Renewable Partners,Brookfield Renewable Partners,1
20181031-0011,GridLiance Heartland,GridLiance Heartland,1
20180926-0013,Boyce Hydro Power.,Boyce Hydro Power.,1
20180622-0006,NGRID,NGRID,1
20180424-0007,DWR,DWR,1
20180223-0006,Ampersand Ogdensburg Hydro,"Ampersand Ogdensburg Hydro,",1
20180216-0016,AmerenUE/AmerenMO,AmerenUE/AmerenMO,1
20171020-0020,Avangrid and Eversource,Avangrid and Eversource,1
20170927-0027,Consumer's,Consumer's,1
20170906-0012(partial),Panhandle Eastern,Panhandle Eastern Pipe Line,1
20170829-0016,Transcontinental pipeline,Transcontinental pipeline,1
20170802-0027,Cameron Gas and Electric,Cameron Gas and Electric,1
20161229-0053,Jersey Central Power & Light,Jersey Central Power & Light,1
20161005-0007,Southern Star Central,"Southern Star Central Gas Pipeline,",1
20160921-0011,MVP,MVP,1
20160617-0008,FirstLight,FirstLight,1
20160526-0013,Consumers,Consumers,1
20160406-0022,Dominion Power,Dominion Power,1
20160224-0019,Plains Pipeline,"Plains Pipeline, LP",1
20160107-0018,Southern California,Southern California Gas Co.,1
20160106-0022,Constitution & Kinder Morgan,Constitution & Kinder Morgan,1
20151230-0012,GE,GE,1
20151118-0010,Transco/Williams,Transco/Williams,1
20151102-0008,TransCo,TransCo,1
20151005-0009,Rover pipeland,Rover pipeland,1
20150729-0052,EQT,EQT,1
20150520-0074,NIPSCO/USFWS,NIPSCO/USFWS,1
20150504-0011,William Partners,William Partners,1
20150311-0006,NED,NED,1
20150303-0030,Central Nebraska Public Power & Irrigation District,Central Nebraska Public Power & Irrigation District,1
20141229-0088,Energy Rover,Energy Rover Pipeline Project,1
20130222-0006,Boardwork,Boardwork Pipelines,1
20130108-0016,Allegheny Storage,Allegheny Storage Project,1
20120113-0004,Wyco Power and Water,"Wyco Power and Water,",1
20110428-0041(partial),Suburban Propane,Suburban Propane,1
20110411-0044,PJM Power Producers Group,PJM Power Producers Group,1
20110405-0001,FirstLight Power,FirstLight Power,1
20110405-0001,Connecticut Hydro,Connecticut Hydro,1
20101006-0002,Grantnty Public Utility District,Grant County Public Utility District,1
20100910-0041,Henry Gas Storage,Henry Gas Storage,1
20100310-0007,NSTAR,NSTAR,1
20091026-0267,Midwest Independent Transmission System Operator,Midwest Independent Transmission System Operator,1
20091013-0004,Williams Northwest,Williams Northwest Pipeline,1
20090508-0038,Bangor-Pacific Hydro and Associates Power,Bangor-Pacific Hydro and Associates Power,1
20090427-0059(partial),SC DNR,SC DNR,1
20090414-0029,New York Regional Interconnection,New York Regional Interconnection,1
20090320-0046,California Independent Operator,California Independent Operator Corporation,1
20090128-0141,AES,AES,1
20090128-0139,Northwest Natural,Northwest Natural Gas,1
20090128-0139,Gas Transmission Northwest,Gas Transmission Northwest Corporation,1
20081125-0051(partial),Hudson River-Black River Regulating District,Hudson River-Black River Regulating District,1
20081020-0178(partial),Rockie Mountain Express,Rockie Mountain Express,1
20081020-0172,Seneca Falls Power,Seneca Falls Power Corporation,1
20081001-0014,Kern River Gas Transmission,Kern River Gas Transmission,1
20080919-0135(partial),Hudson River-Black River Water Regulating District,Hudson River-Black River Water Regulating District,1
20080919-0123(partial),New Jersey Resources,New Jersey Resources,1
20080911-0063,PacificCorp,PacificCorp,1
20080813-0274,Consolidated Water Power,Consolidated Water Power,1
20080722-0166,Golden Lotus,Golden Lotus,1
20080722-0025,Marseilles Land and Water,Marseilles Land and Water,1
20080619-0125,NiSource &umbia Gas Transmission,NiSource & Columbia Gas Transmission,1
20080522-0161,WPSC,WPSC,1
20080522-0154,Rocket Expres,Rocket Expres Gas,1
20080515-0185(partial),Florida,Florida,1
20080327-0152,Williamspnay,Williams Compnay,1
20080306-0218,PSEG,PSEG,1
20080306-0218,PSEG Fossil,PSEG Fossil,1
20080306-0217,Vermont Electric Power,Vermont Electric Power,1
20080215-0204,AEP,AEP,1
20080215-0203,Progress,Progress,1
20070508-0195,Rockies Express Piepline,Rockies Express Piepline,1
20070307-0156(partial),Hardy Storage,Hardy Storage,1
20061130-0153,Northbrook Lyson Falls,"Northbrook Lyson Falls,",1
20061109-0051,New England Independent System Operator,New England Independent System Operator,1
20060817-0093(partial),Rocky Mountain Express,Rocky Mountain Express,1
20060810-0068,PPL Holtwood,"PPL Holtwood,",1
20060725-0077(partial),Quoddy Bay LNG,Quoddy Bay LNG Corp.,1
20060615-0253,Ware River Power,Ware River Power,1
20060615-0199,Midland Powerperative,Midland Power Cooperative,1
20040907-0363,Dominione,Dominion Cove,1
20040813-0003,Enron Power marketing,Enron Power marketing,1
20040720-0242,Enron Power Marketing.,Enron Power Marketing.,1
20040720-0242,American Electric Power Service,American Electric Power Service Corp.,1
20040720-0242,San Diego Gas & Electric,San Diego Gas & Electric Co.,1
20040610-0115,Freeport- Mcmoran,Freeport- Mcmoran,1
20040610-0115,Compass Port,"Compass Port,",1
20040528-0075,Williams Transcontinental,Williams Transcontinental Pipeline,1
20040521-0267,Rancho,Rancho Pipeline,1
20040513-0077,Trunline,Trunline Gas,1
20040504-0565,Wisconsin's electricity markets,Wisconsin's electricity markets,1
20040318-0002,Mid West Independent System Operator,Mid West Independent System Operator,1
20040305-0196,Concoco Phillps and TransCanada,Concoco Phillps and TransCanada Pipelines,1
20040217-0126,HydroPowerpoany,HydroPower Compoany,1
20040206-0193,Green Future,Green Future,1
20040202-0230,Virginia Sate,Virginia Sate Corporation,1
20040202-0218,Virginia State,Virginia State Corporation,1
20040202-0164,Lake Murray Association,Lake Murray Association,1
20040102-0139,LNG Terminal,LNG Terminal,1
20040102-0128,natural gas market,natural gas market,1
20031223-0081,Mississippi Whitewater park Development,Mississippi Whitewater park Development Corporation,1
20031120-0138,American Hydro Power,American Hydro Power,1
20031030-0019,American energy,American energy,1
20031030-0019,Commonwealth Power,Commonwealth Power,1
20031030-0017,M&J,"M&J Holdings,",1
20030929-0018,Northwestern Wisconsin Electric,Northwestern Wisconsin Electric,1
20030801-0191,Smith  Mountain Lake management,Smith  Mountain Lake management,1
20030609-0252,Mr. Lawrence Heath,"Mr. Lawrence Heath, Corporation",1
20030326-0246,Central Maine Power,Central Maine Power,1
20030321-0215,California Electric &,California Electric & Gas,1
20030220-0077,Twin Falls Canal,Twin Falls Canal,1
20030220-0076,Wisconsin corporation,Wisconsin corporation,1
20030211-0007,Canal,Canal,1
20021203-0359,Clark Public UtilityDistrict,Clark Public UtilityDistrict,1
20021127-0044,Ensign Operating,Ensign Operating Co.,1
20021127-0003,Mirant,Mirant Corp.,1
20021104-0116,Maritimes and Northerast,Maritimes and Northerast Pipelines,1
