IDs,company_short,company_short_refs,n
20171211-0012; 20171206-0007; 20170907-0010; 20090929-0093; 20090723-0126; 20090629-0030; 20090629-0029; 20090626-0020; 20090618-0100; 20090618-0099; 20090617-0058(partial); 20090610-5055,Nevada Hydro,Nevada Hydro,12
20110922-0009; 20110913-0012; 20000228-0775,Union Electric,Union Electric,12
20040610-0026; 20040604-0114; 20170613-4008(partial); 20170217-0007; 20110719-0003; 20100910-0037; 20100525-0023; 20091123-0150; 20091013-0008; 20080310-0107; 20040806-0024,Appalachian Power,Appalachian Power Corporation; Appalachian Power,12
20031120-0152; 20031105-0382,Sierra Pacific power,Sierra Pacific power,12
20031120-0152; 20031105-0382,Morgan Stanley Capital Group,Morgan Stanley Capital Group,12
20031120-0152; 20031105-0382,BP,BP,12
20031120-0152; 20031105-0382,Allegheny,Allegheny,12
20081204-0029; 20080611-0072; 20080515-0156,AES Sparrows Point LNG,"AES Sparrows Point LNG,",12
20041018-0032; 20040928-0117; 20040928-0108; 20040928-0110,Mill River,Mill River Pipeline Liquefied Natural Gas; Mill River Pipeline Liquefied Natural &as,12
20021008-0144; 20020716-0239; 20020625-0459; 20010709-0249,New York Power Authority,New York Power Authority,12
20040922-0213; 20101028-0009; 20041018-0032; 20040922-0114,Weaver'se LNG project,Weaver's Cove LNG project,12
20110331-0028; 20030313-0197; 20091224-0051; 20071010-0098; 20070927-0098; 20021127-0043; 20070918-0205,Northern Natural,Northern Natural Gas; Northern Natural Gas Co.,11
20170201-0009; 20150730-0011,Midcontinent Independent System Operator,"Midcontinent Independent System Operator,; Midcontinent Independent System Operator",11
20061117-5153,Iron Gate,Iron Gate,11
20061117-5153,Copco I,Copco I,11
20061117-5153,Copco II,Copco II,11
20061117-5153,J.C. Boyle,J.C. Boyle,11
20180622-0007; 20180411-0024; 20170404-0473,Denver Water,Denver Water,10
20020716-0369; 20020621-0220; 20010709-0593; 20000606-0554; 20000526-0062; 20040211-0313; 20031107-0014,Reliant,Reliant,10
20181214-0008; 20181207-0009; 20181204-0007; 20180531-0008,Rio Grande LNG,Rio Grande LNG Project,10
20031223-0419,Conservation Voltage Regulation,Conservation Voltage Regulation,10
20031107-0044; 20031030-0032; 20031030-0030; 20031030-0010,St. Lawrence and Niagara Power,St. Lawrence and Niagara Power Projects,10
20021018-0377; 20020716-0239; 20020625-0459,St Lawrence/FDR & Niagara,St Lawrence/FDR & Niagara Project,10
20090929-0093; 20090723-0126; 20090629-0030; 20090629-0029; 20090626-0020; 20090618-0100; 20090618-0099; 20090617-0058(partial); 20090610-5055; 20020509-0176,River Mountain Pumped Storage,River Mountain Pumped Storage Project,10
20070119-0137; 20070119-0136; 20070111-4011; 20061024-0158; 20061024-0156; 20061013-0060; 20061004-0166; 20060922-0025; 20060823-0235; 20060810-0085,Two Birde,Two Bird Cove,10
20180424-0006; 20020204-0160; 20011221-0264; 20011221-0259; 20011019-0074; 20011011-0121; 20011005-0027; 20011005-0019; 20011005-0005,California Department of Water Resources,California Department of Water Resources,9
20180227-0006; 20180209-0006; 20170912-0089; 20110629-0001,Woodland Pulp,Woodland Pulp,9
20160222-0007; 20160209-0024; 20160129-0008; 20150320-0022; 20150311-0010; 20140710-0007,Magnolia LNG,"Magnolia LNG; Magnolia LNG,; Magnolia LNG Project",9
20150508-0016; 20090508-0083; 20100628-5039; 20081113-0086; 20071121-0079; 20070430-0070; 20030407-0272; 20021024-0006; 20010629-0053,Pacific Gas and Electric,Pacific Gas and Electric,9
20140416-0024; 20160601-0010; 20151026-0167; 20150929-0018; 20150115-0029; 20141112-0033,Sabal Trail Transmission,"Sabal Trail Transmission,; Sabal Trail Transmission; Sabal Trail Transmission,LLC",9
20040318-0001,Wisconsin's business,"Wisconsin's business,",9
20020318-0146; 20030716-0221; 20020702-0070; 20011221-0261,Islander East,Islander East Pipeline; Islander East; Islander East Pipeline Project,9
20011019-0136; 20011019-0104; 20010928-0082; 20011018-0219; 20011011-0254; 20010917-0275; 20010820-0096; 20010709-0431; 20010709-0430,East Tennesse Natural,East Tennesse Natural Gas,9
20000828-0119; 20001228-0304; 20000918-0110; 20090114-0023(partial); 20070531-0028; 20020816-0007; 20020816-0006; 20020816-0004; 20020815-0580,Yadkin,Yadkin; Yadkin Project,9
20170928-0006; 20020522-0216; 20020521-0383; 20020521-0223; 20020521-0202; 20020403-0720; 20010716-0135; 20010629-0180; 20010612-0180,Sabine River Authority,Sabine River Authority,9
20080813-0285; 20080616-0014; 20080611-0084(partial); 20080522-0150; 20080522-0149; 20080207-0113; 20080102-0300; 20090918-0094; 20080602-0021,REX,REX; REX Pipeline,9
20160602-0013; 20180928-0014; 20170201-0010; 20160729-0014; 20160601-0006; 20160121-0095,Atlantic Bridge,Atlantic Bridge Project,9
20021008-0144,St. Lawrence FDR,St. Lawrence FDR,9
20021008-0144,Niagara Hydroelectric,Niagara Hydroelectric Project,9
