ID,agency,DATE,FROM,first_name,last_name,bioname,party_code,chamber,congress,SUBJECT,TYPE,NOTES,ERROR
1096,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Disability Claim,1,NA,NA
1096,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Disability Claim,1,NA,NA
1120,VA,2019-01-31,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,status of claim,1,NA,NA
1120,VA,2019-01-31,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,status of claim,1,NA,NA
1121,VA,2019-01-31,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,status of claim,1,NA,NA
1121,VA,2019-01-31,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,status of claim,1,NA,NA
1142,VA,2019-02-01,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,status of claim for increase,1,NA,NA
1142,VA,2019-02-01,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,status of claim for increase,1,NA,NA
1143,VA,2019-02-01,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,status of claim for increase,1,NA,NA
1143,VA,2019-02-01,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,status of claim for increase,1,NA,NA
1370,VA,2019-02-19,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,health care eligibility,1,NA,NA
1370,VA,2019-02-19,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,health care eligibility,1,NA,NA
1371,VA,2019-02-19,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,health care eligibility,1,NA,NA
1371,VA,2019-02-19,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,health care eligibility,1,NA,NA
1537,VA,2019-02-27,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,divorce order,1,NA,NA
1537,VA,2019-02-27,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,divorce order,1,NA,NA
1538,VA,2019-02-27,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,divorce order,1,NA,NA
1538,VA,2019-02-27,Representative Van Drew,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,divorce order,1,NA,NA
