first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
Sheila,JACKSON LEE,NA,762,DOJ_CIV,2020-01-09,SHEILA JACKSON LEE ET AL. (NEED TO BE LOGGED),"JACKSON LEE, Sheila",ASKING DOJ TO ENJOIN REGULAT ONS PROPOSED BY TEXAS DEPARTMENT OF INSURANCE,NA,NA,NA
Johnny,ISAKSON,NA,837,DOJ_CIV,2020-01-09,JOHNNY ISAKSON,"ISAKSON, Johnny",VCF CLAIM (WANTS TO KNOW STATUS),1,NA,NA
NA,NA,NA,1081,DOJ_CIV,2020-01-09,JIM MATHESON,,RECA,NA,NA,NA
NA,NA,NA,209,DOJ_CIV,2020-01-10,"JOHN CONYERS, JR",,LEEGIN CREATIVE LEATHER PRODUCTS V PSKS,NA,NA,NA
NA,NA,NA,513,DOJ_CIV,2020-01-10,EDOLPHUS TOWNS,,VIOLATION OF CIVIL RIGHTS ACT,NA,NA,NA
Richard,BLUMENTHAL,NA,364,DOJ_CIV,2020-01-11,RICHARD BLUMENTHAL,"BLUMENTHAL, Richard","LTR ON BEHALF OF(b) (6) REQUESTING ASSISTANCE WITH AN AMENDED CLAIM FOR
 COMPENSATION UNDER THE 911 VICTIM COMPENSATION FUND.",1,NA,NA
NA,NA,NA,514,DOJ_CIV,2020-01-11,MARK BEGICH,,CLEAN AIR ACT CASE,NA,NA,NA
NA,NA,NA,963,DOJ_CIV,2020-01-11,HARRY REID,,"RECOMMENDING(b) (6) TO BE THE SPECIAL MASTER OF THE NEWLY ESTABLISHED
 VICTIMS COMPENSAT ON FUND. W/HANDWRITTEN NOTE.",1,NA,NA
Patrick,LEAHY,NA,222,DOJ_CIV,2020-01-12,PATRICK J LEAHY,"LEAHY, Patrick Joseph",DOD INTIMIDATION OF DETAINEES' ATTORNEYS,5,NA,NA
NA,NA,NA,1058,DOJ_CIV,2020-01-12,BILL NELSON,,GCCF OIL SPILL,NA,NA,NA
NA,NA,NA,517,DOJ_CIV,2020-01-13,ELTON GALLEGLY,,RECA,NA,NA,NA
NA,NA,NA,519,DOJ_CIV,2020-01-13,JOHN F. TIERNEY,,WANTS PROSECUTION OF CITI/COUNTRYW DE,5,NA,NA
Charles,SCHUMER,NA,772,DOJ_CIV,2020-01-13,CHARLES E. SCHUMER,"SCHUMER, Charles Ellis (Chuck)",SEPTEMBER 11TH VCF,NA,NA,NA
NA,NA,NA,834,DOJ_CIV,2020-01-13,JEFF FLAKE,,COMPLAINT RE THE ADVOCACY FOR CONSUME RIGHTS ADMIN TORT CLAIMS ARE BEING DENIED,1,NA,NA
Mark,WARNER,NA,365,DOJ_CIV,2020-01-15,MARK R. WARNER,"WARNER, Mark",LTR ON BEHALF OF(b) (6) REQUESTING DOJ TO STOP DIRECTING MONEY TO THE SPECIAL INTEREST GROUPS.,1,NA,NA
Richard,DURBIN,NA,638,DOJ_CIV,2020-01-15,RICHARD DURBIN,"DURBIN, Richard Joseph",WALGREENS DISCOUNTS FOR INDIVIDUALS WITH FEDERAL HEALTH INSURANCE,NA,NA,NA
NA,NA,NA,249,DOJ_CIV,2020-01-16,JEFF SESSIONS,,DOD WHISTLEBLOWERS,5,NA,NA
NA,NA,NA,349,DOJ_CIV,2020-01-16,JOHN MCCAIN,,RECA,NA,NA,NA
NA,NA,NA,763,DOJ_CIV,2020-01-16,MARK TAMMY BARBARA JEFF JEANNE RICHARD CHRIS UDALL BALDWIN BOXER MERKLEY SHAHEEN BLUMENTHAL COONS,,VA IMPLEMENTATION OF (b) (6),1,NA,NA
NA,NA,NA,246,DOJ_CIV,2020-01-17,THE HONORABLE ERIC CANTOR,,"CIVIL RIGHTS, (b) (6) V FELT PRODUCTS",1,NA,NA
Richard,BURR,NA,518,DOJ_CIV,2020-01-17,RICHARD BURR,"BURR, Richard M.",QUI TAM LAWSUIT,NA,NA,NA
