first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
Patty,MURRAY,NA,791,DOJ_CIV,2020-03-11,PATTY MURRAY,"MURRAY, Patty",COBELL SETTLEMENT (DEDUCTION OF ADMINISTRATIVE FEE FROM PAYMENTS),NA,NA,NA
Thomas,CARPER,NA,850,DOJ_CIV,2020-03-11,THOMAS CARPER,"CARPER, Thomas Richard",RECA,NA,NA,NA
Suzan,DelBENE,NA,886,DOJ_CIV,2020-03-11,SUZAN DELBENE,"DelBENE, Suzan K.","LTR ON BEHALF OF(b) (6) REQ ASSISTANT W THE DECISION OF THE BOARD OF
 IMMIGRATION APPEALS",1,NA,NA
NA,NA,NA,788,DOJ_CIV,2020-03-12,ALAN GRAYSON,,MORTGAGE FRAUD,NA,NA,NA
NA,NA,NA,654,DOJ_CIV,2020-03-13,Bill YOUNG,,"IHS CONTRACT CLAIMS (b) (6) 
 NAVAJO CHAPTER. WH 1107287",1,NA,NA
NA,NA,NA,129,DOJ_CIV,2020-03-15,GRANT R. VINIK,,FOIA DOCUMENT REQ(b) (6),1,"NA",NA
NA,NA,NA,130,DOJ_CIV,2020-03-15,HARRY TEAGUE,,MORTGAGE FRAUD,"NA","NA",NA
NA,NA,NA,326,DOJ_CIV,2020-03-15,BILL SUSAN NELSON COLLINS,,PROJECT JOLT,NA,NA,NA
NA,NA,NA,131,DOJ_CIV,2020-03-16,SPENCER BACHUS III,,LTR TO OBAMA/NAT L DAY OF PRAYER,"NA","NA",NA
NA,NA,NA,132,DOJ_CIV,2020-03-16,LAMAR SMITH,,REQ DOJ APPEAL/NAT DAY OF PRAYER RULING,5,"NA",NA
Michael,BENNET,NA,849,DOJ_CIV,2020-03-17,MICHAEL BENNET,"BENNET, Michael F.",CONSTITUENT CONCERN RE OPERATION CHOKE POINT,NA,NA,NA
NA,NA,NA,853,DOJ_CIV,2020-03-17,JEFF FLAKE,,RECA,NA,NA,NA
Charles,GRASSLEY,NA,854,DOJ_CIV,2020-03-17,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",CONSTITUENT ASKING FOR HELP RE DOJ IMMIGRATION CASE AGAINST HIM,NA,NA,NA
James,INHOFE,NA,977,DOJ_CIV,2020-03-18,JAMES INHOFE,"INHOFE, James Mountain",EXPRESSING CONCERN REGARDING DOJ'S RECOGNITION OF STEVEN WALKER S WHISTLEBLOWING ACT THAT EXPOSED CONTRACTOR FRAUD VALUED N THE MILLIONS INVOLVING PAE GOVERNMENT SERVICES AND RM ASIA LIMITED,NA,NA,NA
NA,NA,NA,133,DOJ_CIV,2020-03-19,MORGAN J. FRANKEL,,REP REQUEST(b) (6)   V SEN SHAHEEN,1,"NA",NA
Johnny,ISAKSON,NA,792,DOJ_CIV,2020-03-19,JOHNNY ISAKSON,"ISAKSON, Johnny",D SPUTE W TH BANK,NA,NA,NA
Paul,GOSAR,NA,789,DOJ_CIV,2020-03-20,PAUL GOSAR,"GOSAR, Paul",RECA,NA,NA,NA
NA,NA,NA,657,DOJ_CIV,2020-03-21,PETE GALLEGO,,TO OLA VIA EXEC SEC 10.21,NA,NA,NA
NA,NA,NA,1,DOJ_CIV,2020-03-22,REID/MICHELE RIBBLE/BACHMANN,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,2,DOJ_CIV,2020-03-22,RANDY/JEFF NEUGEBAUER/LANDRY,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,3,DOJ_CIV,2020-03-22,DENNIS/JEFF ROSS/DUNCAN,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,4,DOJ_CIV,2020-03-22,CHRIS/VICKY SMITH/HARTZLER,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,5,DOJ_CIV,2020-03-22,MIKE/LYNN KELLY/JENKINS,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,6,DOJ_CIV,2020-03-22,STEVE/WALTER KING/JONES,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,7,DOJ_CIV,2020-03-22,RALPH/JAMES HALL/LANKFORD,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,8,DOJ_CIV,2020-03-22,PHIL/TODD ROE/AKIN,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,280,DOJ_CIV,2020-03-22,T M/BILL WALBERG/JOHNSON,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,292,DOJ_CIV,2020-03-22,BOB/STEVE LATTA/AUSTRIA,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,374,DOJ_CIV,2020-03-22,FRANK JOHNS,,NOTICE PATENT RULES AND PROCEDUES,NA,NA,NA
NA,NA,NA,375,DOJ_CIV,2020-03-22,T M/JIM HUELSKAMP/JORDAN,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,376,DOJ_CIV,2020-03-22,BILL/SCOTT HUIZENGA/DESJARLAIS,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,377,DOJ_CIV,2020-03-22,FRANCISCO/DOUG CANSECO/LAMBORN,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,378,DOJ_CIV,2020-03-22,ROSCOE/DON BARTLETT/MANZULLO,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,379,DOJ_CIV,2020-03-22,SPENCER/JEFF BACHUS/DERHAM,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,380,DOJ_CIV,2020-03-22,ROB/JACK BISHOP/KINGSTON,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,381,DOJ_CIV,2020-03-22,JOHN/PHIL FLEMING/GINGREY,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,382,DOJ_CIV,2020-03-22,JOE/BILL PITTS/FLORES,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,383,DOJ_CIV,2020-03-22,CHUCK/STEPHEN FLEISCHMANN/FINCHER,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,384,DOJ_CIV,2020-03-22,STEVE/MIKE PEARCE/PENCE,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,527,DOJ_CIV,2020-03-22,JOHN MCCAIN,,RECA,NA,NA,NA
NA,NA,NA,1043,DOJ_CIV,2020-03-22,DAN/LOUIS BURTON/GOHMERT,,DOMA DECISION - D SAPPROVE/REQ DOCS,5,NA,NA
NA,NA,NA,887,DOJ_CIV,2020-03-23,LOU BARLETTA,,LTR ON BEHALF OF(b) (6) REQ ASSISTANCE W HIS 911 VICTIM COMPENSATION FUND (VCF),1,NA,NA
Peter,KING,NA,979,DOJ_CIV,2020-03-23,PETER KING,"KING, Peter T.","LTR ON BEHALF O (b) (6) 
 REGARDING STATUS OF FOIA REQUEST RE 911 VCF",1,NA,NA
NA,NA,NA,980,DOJ_CIV,2020-03-23,BOB GOODLATTE,,"LETTER ON BEHALF OF(b) (6) REQUESTING ASSISTANCE CONCERNING HIS REQUEST TO
 RECEIVED PAYMENT UNDER THE RECA",1,NA,NA
Chris,STEWART,NA,982,DOJ_CIV,2020-03-23,CHRIS STEWART,"STEWART, Chris","LTR ON BEHALF OF CONSTITUENT RE DOWNW NDER COMPENSATION UNDER RECA ASKING IF SHE IS DUE TO RECEIVE MORE
 COMPENSATION OR HAS SHE RECEIVED IT ALL FOR HER AND HER DECEASED HUSBAND.",NA,NA,NA
Richard,BLUMENTHAL,NA,790,DOJ_CIV,2020-03-24,RICHARD BLUMENTHAL,"BLUMENTHAL, Richard",CIVIL REMEDIES FOR CONSUMERS WHO PURCHASED DEFECTIVE GM CARS,NA,NA,NA
Patty,MURRAY,NA,241,DOC_NTIA,2020-03-25,Sen. Patty Murray,"MURRAY, Patty",NA,NA,NA,NA
Charles,GRASSLEY,NA,373,DOJ_CIV,2020-03-25,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",CUBAN GOV INVLMNT IN MEDICARE FRAUD,NA,NA,NA
NA,NA,NA,385,DOJ_CIV,2020-03-25,Bill YOUNG,,HEARING HR 887/COBELL - REQ AG TESTIFY,5,NA,NA
Rob,WOODALL,NA,861,DOJ_CIV,2020-03-25,ROBERT WOODALL,"WOODALL, Rob",VCF,NA,NA,NA
NA,NA,NA,981,DOJ_CIV,2020-03-25,CHRIS GIBSON,,"LTR ON BEHALF OF(b) (6) REQUESTING ASSISTANCE WITH HER CLAIM FOR
 COMPENSATION THROUGH THE 9/11 VCF FOR HER DECEASED HUSBAND",1,NA,NA
Ben,LUJAN,NA,526,DOJ_CIV,2020-03-26,BEN R. LUJAN,"LUJÁN, Ben Ray",RECA,NA,NA,NA
Terri,SEWELL,NA,666,DOJ_CIV,2020-03-26,TERRI SEWELL/35 OTHERS,"SEWELL, Terri",TIMELINESS OF PAYMENTS TO BLACK FARMERS (PIGFORD II),NA,NA,NA
Thomas,UDALL,NA,793,DOJ_CIV,2020-03-26,TOM UDALL,"UDALL, Thomas (Tom)",IHS CONTRACT CLAIMS (b) (6) - SEVERAL PREVIOUS PENDING LETTERS ABOUT THIS DECISION,1,NA,NA
NA,NA,NA,896,DOJ_CIV,2020-03-26,MORGAN GRIFF TH,,LTR ON BEHALF OF VA CONSTITUENT REQUESTING INFO REGARDING USE OF US GOV JUDGEMENT FUNDS,1,NA,NA
NA,NA,NA,344,DOJ_CIV,2020-03-27,CARL DEBBIE SANDER JOHN GARY DAN LEVIN STABENOW LEVIN DINGELL PETERS KILDEE,,(b) (6),1,NA,NA
NA,NA,NA,369,DOJ_CIV,2020-03-27,BETO O ROURKE,,ASKING WHY DOJ ADVISED SSA TO ABIDE BY THE LAWS OF STATES IN REGARDS TO SAME-SEX MARRIAGES,NA,NA,NA
Mark,POCAN,NA,655,DOJ_CIV,2020-03-27,MARK POCAN,"POCAN, Mark",CRIMINAL PROSECUTION OF (b) (6) FOR DADT PROTESTS,1,NA,NA
NA,NA,NA,663,DOJ_CIV,2020-03-27,NICK J. RAHALL II,,"DEPORTATION PROCEEDINGS AGAINST(b) (6) 
 FAMILY (HOMESCHOOLING ISSUE)",1,NA,NA
NA,NA,NA,1082,DOJ_CIV,2020-03-27,DARRELL/TREY/JIM ISSA/GOWDY/JORDAN,,USAO INVESTIGATION OF CITY OF NEW YORK,NA,NA,NA
NA,NA,NA,386,DOJ_CIV,2020-03-28,CLAIRE MCCASKILL,,RADIATION COMPENSATION,1,NA,NA
Doris,MATSUI,NA,387,DOJ_CIV,2020-03-28,DORIS MATSUI,"MATSUI, Doris",RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,366,DOJ_CIV,2020-03-29,CLAIRE MCCASKILL,,SEN. MCCASKILL IS REQUESTING INFO ABOUT DIETARY SUPPLEMENT-RELATED ACTIONS TAKEN BY DOJ,1,NA,NA
Steve,SCALISE,NA,367,DOJ_CIV,2020-03-29,STEVE SCALISE,"SCALISE, Steve",REQUESTING UPDATE ON DOJ ACTION TAKEN RE RESTITUTION FOR CONSTITUENTS INVOLVED IN THE 201 CHINESE DRY WALL CASE,1,NA,NA
NA,NA,NA,536,DOJ_CIV,2020-03-30,RICHARD LUGAR,,NATIONAL MORTGAGE SETTLEMENT,NA,NA,NA
Lamar,ALEXANDER,NA,415,DOJ_CIV,2020-03-31,LAMAR ALEXANDER,"ALEXANDER, Lamar",SLM TRANS INC BANKRUPTCY CASE,NA,NA,NA
NA,NA,NA,416,DOJ_CIV,2020-03-31,BOB CORKER,,SLM TRANS INC BANKRUPTCY CASE,NA,NA,NA
Mark,WARNER,NA,794,DOJ_CIV,2020-03-31,MARK WARNER,"WARNER, Mark",SEPTEMBER 11TH VICTIMS COMPENSATION FUND (VCF),NA,NA,NA
Dianne,FEINSTEIN,NA,885,DOJ_CIV,2020-03-31,DIANNE FEINSTEIN,"FEINSTEIN, Dianne",LTR ON BEHALF OF(b) (6) RE HIS COMPLAINT AGAINST FLORIDA DEPT OF TRANSPORTATION,1,NA,NA
NA,NA,NA,1041,DOJ_CIV,2020-03-31,MARK KIRK,,CONST REQ INVEST RE ELDER ABUSE,5,NA,NA
NA,NA,NA,1301,DOC_OS,2020-04-02,REPRESENTATIVE SAM FARR (CA),,SUPPORT LETTER - THE CITY OF SALINAS' {CA} GRANT APPUCATION FOR {RIS) 16 CHALLENGE,NA,NA,NA
NA,NA,NA,1302,DOC_OS,2020-04-02,"STATE SENATOR ANN RIVERS, 18TH LEGISLATIVE DISTRICT (WA)",,SUPPORT LETTER - THE VANCOUVER- PORTLAND-SALEM REGIONAL APPLICATION (1MCP1,NA,NA,NA
Kathy,CASTOR,NA,531,DOJ_CIV,2020-04-02,KATHY CASTOR,"CASTOR, Kathy",ULTRAMEDIX HEALTH CARE SYSTEMS,NA,NA,NA
Scott,DESJARLAIS,NA,535,DOJ_CIV,2020-04-02,SCOTT DESJARLAIS,"DESJARLAIS, Scott",NATIONAL MORTGAGE SETTLEMENT,NA,NA,NA
NA,NA,NA,799,DOJ_CIV,2020-04-02,MARK PRYOR,,RECA,NA,NA,NA
Patty,MURRAY,NA,528,DOJ_CIV,2020-04-03,PATTY MURRAY,"MURRAY, Patty",RECA,NA,NA,NA
Bill,FOSTER,NA,795,DOJ_CIV,2020-04-03,BILL FOSTER,"FOSTER, Bill",IMMIGRATION SCAMS,NA,NA,NA
NA,NA,NA,9,DOJ_CIV,2020-04-04,BRUCE BRALEY,,INVSTIG TRANSOCEAN SAFETY BONUSES,NA,NA,NA
Robert,MENENDEZ,NA,804,DOJ_CIV,2020-04-04,ROBERT MENENDEZ,"MENENDEZ, Robert",USE OF CONSTITUENT S NAME ON WEBSITE,NA,NA,NA
NA,NA,NA,390,DOJ_CIV,2020-04-05,RICHARD NUGENT,,RADIATION COMPENSATION,1,NA,NA
Rand,PAUL,NA,393,DOJ_CIV,2020-04-05,RAND PAUL,"PAUL, Rand",RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,10,DOJ_CIV,2020-04-06,BOXER/AKAKA BARBARA/DANIEL,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,11,DOJ_CIV,2020-04-06,BROWN/SHERROD WYDEN RON,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,12,DOJ_CIV,2020-04-06,FRANK/JEFFREY LAUTENBERG/MERKLEY,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,13,DOJ_CIV,2020-04-06,KRISTEN/CHRIS GILLIBRAND/COONS,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,14,DOJ_CIV,2020-04-06,JOHN/PATRICK KERRY/LEAHY,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,281,DOJ_CIV,2020-04-06,SHELDON/DANIEL WHITEHOUSE/INOUYE,,SUPPRT SAME-SEX IMMG MARRIAGE PETITIONS,NA,NA,NA
NA,NA,NA,293,DOJ_CIV,2020-04-06,MARY LANDRIEU,,UST EMPLY - COMPLNT AGAINST BOSS,NA,NA,NA
NA,NA,NA,533,DOJ_CIV,2020-04-06,CHRIS GIBSON,,HAMP PROGRAM BANK OF AMERICA,NA,NA,NA
Patrick,TOOMEY,NA,985,DOJ_CIV,2020-04-06,PATRICK TOOMEY,"TOOMEY, Patrick Joseph",STATUS OF CLAIM FOR COMPENSATION UNDER THE 9/11 VCF,1,NA,NA
NA,NA,NA,391,DOJ_CIV,2020-04-07,CHARLES/JEFF GRASSLEY/SESSIONS,,DID DOJ CONSULT OLC/OSG B DOMA DECISION,NA,NA,NA
NA,NA,NA,392,DOJ_CIV,2020-04-07,ORIN HATCH,,DID DOJ CONSULT OLC/OSG B DOMA DECISION,NA,NA,NA
Vernon,BUCHANAN,NA,983,DOJ_CIV,2020-04-07,VERN BUCHANAN,"BUCHANAN, Vernon G.",STATUS OF CLAIM FOR COMPENSATION THROUGH THE BP DEEP HORIZON PROGRAM,1,NA,NA
NA,NA,NA,984,DOJ_CIV,2020-04-07,DAVID JOLLY,,STATUS OF CLAIM FOR COMPENSATION THROUGH THE BP DEEP HORIZON PROGRAM,1,NA,NA
NA,NA,NA,986,DOJ_CIV,2020-04-07,CARLOS CURBELO,,STATUS OF CLAIM FOR COMPENSATION UNDER THE 9/11 VCF,1,NA,NA
NA,NA,NA,327,DOJ_CIV,2020-04-08,ROBERT HURT,,RECA,NA,NA,NA
NA,NA,NA,417,DOJ_CIV,2020-04-08,ROSA/ANNA DELAURO/ESHOO,,HISPANIC FARMERS,NA,NA,NA
NA,NA,NA,659,DOJ_CIV,2020-04-08,CAROLYN MCCARTHY,,SEPTEMBER 11 VCF,NA,NA,NA
John,SARBANES,NA,688,DOJ_CIV,2020-04-08,JOHN P. SARBANES,"SARBANES, John","REQUEST FOR DOJ TO GRANT ASYLUM FOR
 (b) (6) FAMILY",1,NA,NA
Thomas,UDALL,NA,856,DOJ_CIV,2020-04-08,TOM UDALL,"UDALL, Thomas (Tom)",RECA,NA,NA,NA
NA,NA,NA,991,DOJ_CIV,2020-04-08,JOHN MCCAIN,,EXPRESSING CONCERNS REGARDING A LTR TO THE DEPT OF VA OIG REGARDING ALLEGATIONS OF APPOINTMENTS INCORRECTLY DELETED FROM THE SYSTEMS AT ARIZONA VA HOSPITAL AND CLINICS.,NA,NA,NA
NA,NA,NA,540,DOJ_CIV,2020-04-09,MARY L. LANDRIEU,,(b) (6) ET AL V. USA,1,NA,NA
NA,NA,NA,797,DOJ_CIV,2020-04-10,MICHAEL FITZPATRICK,,RECA,NA,NA,NA
Robert,MENENDEZ,NA,1119,DOJ_CIV,2020-04-10,ROBERT MENENDEZ,"MENENDEZ, Robert",SEPTEMBER 11TH VICTIMS COMPENSATION FUND (VCF),NA,NA,NA
NA,NA,NA,796,DOJ_CIV,2020-04-11,RICHARD BARBARA ROBERT MAZIE EDWARD BLUMENTHAL BOXER CASEY HIRONO MARKEY,,SAME AS WF 280 0 5 (BLUMENTHAL) JUST WITH MORE SIGNATORIES,NA,NA,NA
NA,NA,NA,408,DOJ_CIV,2020-04-12,KAY BAILEY HUTCHINSON,,BOP EEO COMPLAINT,NA,NA,NA
NA,NA,NA,658,DOJ_CIV,2020-04-12,BARBARA BOXER,,NATIONAL MORTGAGE SETTLEMENT ENFORCEMENT,NA,NA,NA
Ted,YOHO,NA,855,DOJ_CIV,2020-04-13,TED YOHO,"YOHO, Ted",RECA,NA,NA,NA
Zoe,LOFGREN,NA,409,DOJ_CIV,2020-04-14,ZOE LOFGREN,"LOFGREN, Zoe",SAME-SEX IMMIG PET TIONS,NA,NA,NA
Charles,GRASSLEY,NA,900,DOJ_CIV,2020-04-14,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",LTR FROM CHMN GRASSLEY RE THE CREATION OF THE HEALTH CARE FRAUD PREVENTION PARTNERSHIP (HFPP).,NA,NA,NA
Thomas,MARINO,NA,798,DOJ_CIV,2020-04-16,TOM MARINO,"MARINO, Thomas A.",WELLS FARGO SETTLEMENT,NA,NA,NA
NA,NA,NA,857,DOJ_CIV,2020-04-16,GLENN KEITH THOMPSON ROTHFUS,,CONCERN RE CBP COLLECTING DUTIES AFTER RULING IN INTERNATIONAL CUSTOMS PRODUCTS VS US,NA,NA,NA
Chris,COLLINS,NA,345,DOJ_CIV,2020-04-17,CHRIS COLLINS,"COLLINS, Chris",USA EX REL(b) (6) V. ALLSTATE ET AL.,1,NA,NA
Glenn,THOMPSON,NA,532,DOJ_CIV,2020-04-17,GLENN THOMPSON,"THOMPSON, Glenn",RECA,NA,NA,NA
Tom,COLE,NA,543,DOJ_CIV,2020-04-17,TOM COLE,"COLE, Tom",WILDFIRE N OKLAHOMA,NA,NA,NA
Paul,GOSAR,NA,800,DOJ_CIV,2020-04-17,PAUL GOSAR,"GOSAR, Paul",RECA,NA,NA,NA
Robert,BISHOP,NA,31,DOJ_CIV,2020-04-18,ROB BISHOP,"BISHOP, Robert (Rob)",RECA,NA,NA,NA
NA,NA,NA,395,DOJ_CIV,2020-04-18,MAURICE HINCHEY,,UPHOLD 9 CIR DECISION WILDERNESS V. DOE,NA,NA,NA
Dianne,FEINSTEIN,NA,801,DOJ_CIV,2020-04-18,DIANNE FEINSTEIN,"FEINSTEIN, Dianne",POTENTIAL QUI TAM CASE ALSO FTCA CLAIM,1,NA,NA
NA,NA,NA,1042,DOJ_CIV,2020-04-18,LAMAR SMITH,,REQ DOJ SUE UT FOR IMMIG LAW H B. 116,1,NA,NA
NA,NA,NA,282,DOJ_CIV,2020-04-19,ROBERT ANDREWS,,CONST WAGE DISPUTE W/ HER EMPLYR,NA,NA,NA
NA,NA,NA,394,DOJ_CIV,2020-04-19,JON KYL,,DOJ WEBSITE REMOVED AMERICAN FLAG,NA,NA,NA
NA,NA,NA,396,DOJ_CIV,2020-04-19,BOB GODDLATTE,,D FFICULTIES W/ AMERICAN HOME MORTGAGE,NA,NA,NA
NA,NA,NA,661,DOJ_CIV,2020-04-19,BOB JAMES RANDY TRENT RAUL BLAKE GEORGE DOUG KEITH GOODLATTE SENSENBRENNER FORBES FRANKS LABRADOR FARENTHOLD HOLDING COLLINGS ROTHFUS,,PLAN B DECISION,NA,NA,NA
Sherrod,BROWN,NA,669,DOJ_CIV,2020-04-19,SHERROD BROWN,"BROWN, Sherrod",ALLEGED MEDICAL MALPRACTICE,NA,NA,NA
Jon,TESTER,NA,987,DOJ_CIV,2020-04-19,JON TESTER,"TESTER, Jon",REQUESTING ASSISTANCE REGARDING THE DENIAL OF CONSTITUENT S APPLICATION FOR COMPENSATION THROUGH RECA,1,NA,NA
Steny,HOYER,NA,356,DOJ_CIV,2020-04-20,STENY HOYER,"HOYER, Steny Hamilton",LTR ON BEHALF OF(b) (6) REQ ASSISTANCE W MORTGAGE FRAUD ISSUE,1,NA,NA
Glenn,THOMPSON,NA,538,DOJ_CIV,2020-04-20,GLENN THOMPSON,"THOMPSON, Glenn",RECA,NA,NA,NA
Mark,WARNER,NA,1101,DOJ_CIV,2020-04-20,MARK WARNER,"WARNER, Mark",CONSUMER COMPLAINT,NA,NA,NA
NA,NA,NA,1201,DOJ_CIV,2020-04-20,KRYSTEN SINEMA,,OPERATION CHOKE POINT,NA,NA,NA
Charles,ROBERTS,NA,346,DOJ_CIV,2020-04-21,PAT ROBERTS,"ROBERTS, Charles Patrick (Pat)",MED CARE LIEN FROM SETTLEMENT WITH PFIZER,NA,NA,NA
NA,NA,NA,398,DOJ_CIV,2020-04-21,JOHN MCCAIN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,995,DOJ_CIV,2020-04-22,CANDICE MILLER,,"EXPRESSING CONCERNS REGARDING SERVICES PROVIDED BY A R ADVANTAGE FOR EMGERGENCY SERVICES PROVIDERS. ADVISING THAT AIR ADVANTAGE IS ALLEGED TO HAVE DEFAULTED ON
 $13.9 MILLION IN LOANS WITH THE U.S. DEPT OF AGRICULTURE AND IS CURRENTLY INVOLVED IN A LAWSUIT WITH DOJ.",NA,NA,NA
Walter,JONES,NA,351,DOJ_CIV,2020-04-23,WALTER JONES,"JONES, Walter Beaman, Jr.",VCF,NA,NA,NA
NA,NA,NA,313,DOJ_CIV,2020-04-24,HOWARD L. BERMAN,,ISSUES WITH SBA LOAN,NA,NA,NA
NA,NA,NA,539,DOJ_CIV,2020-04-24,BILL NELSON,,MED CARE FRAUD,NA,NA,NA
Marco,RUBIO,NA,542,DOJ_CIV,2020-04-24,MARCO RUBIO,"RUBIO, Marco",HEALTHCARE FRAUD CHARGES,NA,NA,NA
NA,NA,NA,671,DOJ_CIV,2020-04-24,BILL NELSON,,COMPLAINT AGAINST LEGAL AID SOCIETY,NA,NA,NA
Patrick,TOOMEY,NA,802,DOJ_CIV,2020-04-24,PATRICK TOOMEY,"TOOMEY, Patrick Joseph",SEPTEMBER 11TH VICTIMS COMPENSATION FUND (VCF),NA,NA,NA
John,REED,NA,818,DOJ_CIV,2020-04-24,JACK REED,"REED, John F. (Jack)",OPERATION CHOKE POINT (TRIBAL LENDERS),NA,NA,NA
James,RISCH,NA,858,DOJ_CIV,2020-04-24,JAMES RISCH,"RISCH, James",RECA,NA,NA,NA
NA,NA,NA,15,DOJ_CIV,2020-04-25,DARRELL ISSA,,CONCERN CONTERFEIT PHARMA,NA,NA,NA
Mark,MEADOWS,NA,681,DOJ_CIV,2020-04-25,MARK MEADOWS SMITH HARRIS PITTS PITTENGER SHUSTER MULWANEY ROGERS FLEMING JORDAN NUNNELEE,"MEADOWS, Mark",(b) (6) V. HAMBURG PLAN B DECISION,1,NA,NA
Charles,GRASSLEY,NA,988,DOJ_CIV,2020-04-25,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",LETTER SUPPORTING(b) (6) AS THE NEXT SPECIAL MASTER OF THE SEPTEMBER 11TH VCF,1,NA,NA
NA,NA,NA,399,DOJ_CIV,2020-04-26,KAY HAGAN,,CONST WANT $ FROM(b) (6) V. VILSACK,1,NA,NA
Jim,JORDAN,NA,403,DOJ_CIV,2020-04-26,JIM JORDAN,"JORDAN, Jim",REQ ASST SETTLING ED DPT STUDENT LOANS,5,NA,NA
Carolyn,MALONEY,NA,664,DOJ_CIV,2020-04-26,CAROLYN MALONEY WAXMAN SLAUGHTER DEGETTE QUIGLEY RANGEL GRISHAM MOORE NORTON NADLER LEE DEFAZ O,"MALONEY, Carolyn Bosher",URGING DOJ NOT TO APPEAL PLAN B DECISION,NA,NA,NA
NA,NA,NA,993,DOJ_CIV,2020-04-26,STEVE ISRAEL,,9/11 VCF CLAIM,1,NA,NA
NA,NA,NA,994,DOJ_CIV,2020-04-26,RICHARD HANNA,,STATUS OF APPLICATION FOR COMPENSATION UNDER THE 911 VCF,NA,NA,NA
NA,NA,NA,860,DOJ_CIV,2020-04-27,BOB GOODLATTE,,OFFICIAL INVITE FOR P/DAAG MIZER TO TESTIFY AT HJC SUBCOMMITTEE ON 5/19/15,NA,NA,NA
NA,NA,NA,989,DOJ_CIV,2020-04-27,CHARLES/JEFF GRASSLEY/SESSIONS,,HABITUAL DRUNKARD 9TH CIR. DECISION (b) (6) V. LYNCH,1,NA,NA
NA,NA,NA,397,DOJ_CIV,2020-04-28,MARK PRYOR,,ALLEGED MILITARY MISCONDUCT/ABUSE,NA,NA,NA
NA,NA,NA,400,DOJ_CIV,2020-04-28,FRANK WOLF,,CONST RPT GSA CONTRCTR MISCONDUCT,NA,NA,NA
Jerry,MORAN,NA,404,DOJ_CIV,2020-04-28,JERRY MORAN,"MORAN, Jerry",SIERRA CLUB V. UDSA,NA,NA,NA
NA,NA,NA,405,DOJ_CIV,2020-04-28,T M/LYNN HUELSKAMP/JENKINS,,SIERRA CLUB V. UDSA,NA,NA,NA
NA,NA,NA,406,DOJ_CIV,2020-04-28,MIKE/KEVIN POMPEO/YODER,,SIERRA CLUB V. UDSA,NA,NA,NA
NA,NA,NA,859,DOJ_CIV,2020-04-28,PAUL TRENT ANN MATT KYRSTEN GOSAR FRANKS KIRKPATRICK SALMON SINEMA,,REQ DOJ/FTC INVESTIGATE FAKE HOTEL BOOKING WEBSITES/SCAMS,5,NA,NA
Paul,GOSAR,NA,665,DOJ_CIV,2020-04-29,PAUL A. GOSAR,"GOSAR, Paul",RECA,NA,NA,NA
