LetterID,ID,DATE,year,congress,FROM,pattern,bioname,agency,SUBJECT,TYPE,ALT_TYPE,CERTAINTY,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR,first_name,first_initial,common_name,middle_name,middle_initial,last_name,id,icpsr,party_code,cqlabel,state,state_abbrev,chamber,bioImgURL,seo_name,district_code,party_name,nominate.dim2,nominate.dim1,nominate.geo_mean_probability,party_size,maiden_name,first_last,first_maiden,common_last,first_middle_last,first_initial_last,common_middle_last,common_initial_last,last_comma_first,first_maiden_last,common_maiden_last,firstinitial_middleinitial_last,last_comma_initial,last_comma_commoninitial,last_comma_common,last_comma_first_maiden,chamber_last,n
NA,943,2015-12-28,2015,114, Marcia FUDGE,"marcia fudge|marcia l fudge|fudge, marcia|^fudge, m$|^fudge, na$|representative fudge($|,)|m l fudge","FUDGE, Marcia L.",DOD_USACE, CONGRESSIONAL - Fudge-multi - Supports the proposed project modification request in section 7001 of WRRDA 2014 CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Marcia,M,NA,L,L,FUDGE,MH11420941,20941,100,(OH-11),ohio,OH,House,020941.jpg,marcia-l-fudge,11,Democratic Party,0.14,-0.58,0.9180669193218902,190,404error,Marcia FUDGE,404error,404error,Marcia L FUDGE,Marcia L FUDGE,404error,404error,"FUDGE, Marcia",404error,404error,M L FUDGE,"^FUDGE, M$","^FUDGE, NA$",404error,404error,"Representative FUDGE($|,)",1
NA,944,2015-12-28,2015,114, Richard DURBIN,"richard durbin|richard joseph durbin|richard j durbin|dick durbin|dick joseph durbin|dick j durbin|durbin, richard|^durbin, r$|^durbin, d$|senator durbin($|,)|durbin, dick|r j durbin","DURBIN, Richard Joseph",DOD_USACE, CONGRESSIONAL - Durbin-multi - Supports funding for McCook Reservoir CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Richard,R,Dick,Joseph,J,DURBIN,MS11415021,15021,100,(IL),illinois,IL,Senate,015021.jpg,richard-joseph-durbin,0,Democratic Party,-0.351,-0.356,0.9096082636271269,44,404error,Richard DURBIN,404error,Dick DURBIN,Richard Joseph DURBIN,Richard J DURBIN,Dick Joseph DURBIN,Dick J DURBIN,"DURBIN, Richard",404error,404error,R J DURBIN,"^DURBIN, R$","^DURBIN, D$","DURBIN, Dick",404error,"Senator DURBIN($|,)",1
NA,945,2015-12-21,2015,114, NA BROWN,NA,,DOD_USACE, CONGRESSIONAL - Brown-multi - Supports the proposed project modification request in section 7001 of WRRDA 2014 for Smale Riverfront Project CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,952,2015-11-06,2015,114, Deborah STABENOW,"deborah stabenow|deborah ann stabenow|deborah a stabenow|(deb|debbie) stabenow|(deb|debbie) ann stabenow|(deb|debbie) a stabenow|stabenow, deborah|^stabenow, d$|senator stabenow($|,)|stabenow, (deb|debbie)|d a stabenow","STABENOW, Deborah Ann",DOD_USACE, CONGRESSIONAL - Stabenow-multi - Supports funding for the City of New Buffalo shoreline beach nourishment CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Deborah,D,(Deb|Debbie),Ann,A,STABENOW,MS11429732,29732,100,(MI),michigan,MI,Senate,029732.jpg,deborah-ann-stabenow,0,Democratic Party,0.017,-0.336,0.8916576497793952,44,404error,Deborah STABENOW,404error,(Deb|Debbie) STABENOW,Deborah Ann STABENOW,Deborah A STABENOW,(Deb|Debbie) Ann STABENOW,(Deb|Debbie) A STABENOW,"STABENOW, Deborah",404error,404error,D A STABENOW,"^STABENOW, D$","^STABENOW, D$","STABENOW, (Deb|Debbie)",404error,"Senator STABENOW($|,)",1
NA,953,2015-11-06,2015,114, Deborah STABENOW,"deborah stabenow|deborah ann stabenow|deborah a stabenow|(deb|debbie) stabenow|(deb|debbie) ann stabenow|(deb|debbie) a stabenow|stabenow, deborah|^stabenow, d$|senator stabenow($|,)|stabenow, (deb|debbie)|d a stabenow","STABENOW, Deborah Ann",DOD_USACE, CONGRESSIONAL - Stabenow-multi - Supports funding for the City of New Buffalo shoreline beach nourishment CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Deborah,D,(Deb|Debbie),Ann,A,STABENOW,MS11429732,29732,100,(MI),michigan,MI,Senate,029732.jpg,deborah-ann-stabenow,0,Democratic Party,0.017,-0.336,0.8916576497793952,44,404error,Deborah STABENOW,404error,(Deb|Debbie) STABENOW,Deborah Ann STABENOW,Deborah A STABENOW,(Deb|Debbie) Ann STABENOW,(Deb|Debbie) A STABENOW,"STABENOW, Deborah",404error,404error,D A STABENOW,"^STABENOW, D$","^STABENOW, D$","STABENOW, (Deb|Debbie)",404error,"Senator STABENOW($|,)",1
NA,373,2011-06-14,2011,112,Jim Bates ,NA,,DOJ_EOIR,Requesting a motion to reopen the case of (b)(6) due to ineffective counsel.  (WF  2385799),NA,NA,NA,NA,NA,NA,Jim Bates FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,218,2007-01-30,2007,110,20 Others,NA,,DOL_SOL,Final OSHA Regs on Employer Payment for Personal Protective Equipment,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,252,2007-02-01,2007,110,11 Others,NA,,DOL_SOL,Proposed Rules Changes to Workforce Investment Act (WIA) & Wagner-Peyer Act,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,388,2007-02-20,2007,110,51 Others,NA,,DOL_SOL,Family Medical Leave Act (FMLA) Comments - Response to RFI Published 12/01/2006,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,522,2007-03-02,2007,110,14 Others,NA,,DOL_SOL,Support Request for Trade Adjustment Assistance (TAA),NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,618,2007-03-12,2007,110,Representative Udall,NA,,DOL_SOL,Request Info About Beryllium- Related Claims in Relation to Vendors Under EEOICPA,NA,NA,NA,NA,NA,NA,Multiple Udall's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1229,2007-05-03,2007,110,25 Others,NA,,DOL_SOL,Restore Funding to WB for Women Work! and Other Initiatives for Women,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1293,2007-05-08,2007,110,3 Others,NA,,DOL_SOL,Requesting Information About Telework Progs At DOL/Current Data for Each Office,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1413,2007-05-21,2007,110,3 Others,NA,,DOL_SOL,Support for the CA Partnership for San Joaquin Valley WIRED Grant Proposal,NA,NA,NA,NA,NA,NA,"Multiple Unnamed Members, FOIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
