agency,bioname,DATE,SUBJECT,TYPE,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,n
DOL_MSHA,"WYDEN, Ronald Lee",2007-07-10,Difficulties with MSHA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"WYDEN, Ronald Lee",2007-07-10,Difficulties with MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-07-24,Support Funds for the Mine Safety Training Programs at the College's Academy,3,NA,grant,Mine Safety Training Program,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-07-24,Support Funds for the Mine Safety Training Programs at the College's Academy,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-07-24,ETS Concerns the Sealing of Abandoned Areas of Underground Coal Mines/MINER Act,5,NA,legislation; rule,MINER Act,past,"also deals with rule, but cannot tell if future or past",2
DOL_MSHA,"MILLER, George",2007-07-24,ETS Concerns the Sealing of Abandoned Areas of Underground Coal Mines/MINER Act,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"ROGERS, Harold Dallas (Hal)",2007-07-25,Employment with MSHA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"ROGERS, Harold Dallas (Hal)",2007-07-25,Employment with MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"WELCH, Peter",2007-08-06,"Follow-up on Staffs Initial Inquiry of April 19, 2007",5,NA,information,NA,2007-04-19,NA,2
DOL_MSHA,"WELCH, Peter",2007-08-06,"Follow-up on Staffs Initial Inquiry of April 19, 2007",NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-08-07,Credit to his retirement account,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-08-07,Credit to his retirement account,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"SMITH, Gordon Harold",2007-08-08,Inspection of Mine,2,1,enforcement,NA,NA,ambiguous who is being advocated for,2
DOL_MSHA,"SMITH, Gordon Harold",2007-08-08,Inspection of Mine,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-08-13,Efforts to obtain a position with your administration in VW Area,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-08-13,Efforts to obtain a position with your administration in VW Area,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-08-13,Humiliated & Unprofessional Removed from His Job,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-08-13,MSHA Employer Claims He was Humiliated & Unprofessional Removed from His Job,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-08-13,Humiliated & Unprofessional Removed from His Job,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-08-13,MSHA Employer Claims He was Humiliated & Unprofessional Removed from His Job,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-08-23,Request Documents & Information Concerning Crandall Canyon Mine in Utah Events,5,NA,disaster; information,Crandall Canyon Mine,NA,NA,2
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-08-23,Request Documents & Information Concerning Crandall Canyon Mine in Utah Events,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-08-24,Request Accounting All Emergency Response Plans (ERP) Currently Approved by MSHA,5,NA,disaster,Crandall Canyon Mine,NA,NA,2
DOL_MSHA,"MILLER, George",2007-08-24,Request Accounting All Emergency Response Plans (ERP) Currently Approved by MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"ENZI, Michael B.",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,5,2,disaster; information,NA,NA,NA,2
DOL_MSHA,"ENZI, Michael B.",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"HATCH, Orrin Grant",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,5,2,disaster; information,NA,NA,NA,2
