thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,power,budget,chair,majority,maj_leader,min_leader,les,seniority
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Subcommittee Chair,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,1 = Committee Chair,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Legislative Effectiveness Score (1-5-10),"Seniority, number of terms served counting current"
8064,"Bright, Bobby",20900,111,2009,AL,2,1,2008,0,50,0.079000004,7,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.254911572,1
8065,"Broun, Paul",20753,111,2009,GA,10,0,2007,0,61,0.970000029,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223290429,2
8066,"Brown, Corrine",29328,111,2009,FL,3,1,1992,1,100,-0.372999996,25,0,1,0,0,0,0,0,7,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0.450828433,9
8067,"Brown, Henry",20137,111,2009,SC,1,0,2000,0,52,0.536000013,6,0,0,0,0,0,0,0,7,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1.876517057,5
8068,"Brown-Waite, Ginny",20313,111,2009,FL,5,0,2002,1,61,0.519999981,25,0,0,0,0,0,0,0,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.460756838,4
8069,"Buchanan, Vern",20709,111,2009,FL,13,0,2006,0,56,0.56099999,25,0,0,0,0,0,0,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.602468193,2
8070,"Burgess, Michael",20355,111,2009,TX,26,0,2002,0,60,0.777999997,32,0,0,0,0,0,0,0,24,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.017780542,4
8071,"Burton, Dan",15014,111,2009,IN,5,0,1982,0,66,0.754000008,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265157402,14
8072,"Butterfield, G.",20340,111,2009,NC,1,1,2004,0,70,-0.36500001,13,0,0,0,0,0,0,0,9,1,0,0,0,3,2,2,2,2,0,0,0,1,1,0,0.543792367,3
8073,"Buyer, Steve",29350,111,2009,IN,4,0,1992,0,60,0.644999981,9,0,0,0,0,0,0,0,19,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.650909305,9
8074,"Calvert, Ken",29323,111,2009,CA,44,0,1992,0,51,0.546000004,53,0,0,0,0,0,0,0,11,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.733270347,9
8075,"Camp, Dave",29124,111,2009,MI,4,0,1990,0,62,0.620999992,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.097689562,10
8076,"Campbell, John",20539,111,2009,CA,48,0,2005,0,56,0.984000027,53,0,0,0,0,0,0,0,9,1,2,2,0,1,0,1,1,1,0,1,0,0,0,0,0.832310677,3
8077,"Cantor, Eric",20144,111,2009,VA,7,0,2000,0,63,0.744000018,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.069778264,5
8078,"Cao, Anh",20917,111,2009,LA,2,0,2008,0,50,0.256999999,7,0,0,0,0,0,0,0,14,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.345401794,1
8079,"Capito, Shelley",20146,111,2009,WV,2,0,2000,1,57,0.456,3,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.441536337,5
8080,"Capps, Lois",29774,111,2009,CA,23,1,1998,1,68,-0.430999994,53,0,0,0,0,0,0,0,30,5,6,6,0,0,0,0,0,0,0,0,0,1,0,0,2.388654232,6
