X1,ID,DATE,filed_date,docket,SUBJECT,file_name,url,link_text,FROM,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR
6197,19910712-0253,1991-06-26,1991-06-17,P-9401-000,Sen Bradley submits comments of S & L Corwin opposing Mt Hope Hydro Proj under P-9401.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6186,19910708-0108,1991-06-25,1991-07-01,CP91-687-000,Comments of Rep DR Obey et al urging FERC's prompt attention to ANR P/L Co under CP91-687.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6188,19910708-0132,1991-06-24,1991-06-28,P-2683-000P-460-000P-588-000,Oversight inquiry by House Energy Committee re Elwha & Glines Canyon Dams in Elwha River in WA under P-2683 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6193,19910701-0081,1991-06-24,1991-06-25,CP89-460-000,Comments of Sen PV Domenici re proposed Pacific GT expansion under CP89-450.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6192,19910626-0023,1991-06-21,1991-06-25,CP91-2314-000,Comments of Rep P Roberts on appl of Zenith Natural Gas to change current sales svc obligations under CP91-2314.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6191,19910626-0017,1991-06-19,1991-06-25,NONE-000,"Rep BA Gilman submits ltr from constituent,J Bauman of Tom- kins Cove,NY re concerns w/Algonquin Gas Co.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6194,19910625-0291,1991-06-19,1991-06-24,P-8263-004,"Comments of Sen JI Lieberman re Summit Hydropowers proposed Falls Mill Dam Hydropower Proj at Yantic Falls in Norwich,CT under P-8263.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6190,19910626-0014,1991-06-18,1991-06-25,CP89-471-000,Comments of Sen R Shelby on FERC 910529 issued draft order re proposed route of Gateway P/L to be located in SW AL under CP89-471.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6196,19910620-0028(partial),1991-06-16,1991-06-17,UL87-13-000,"US Rep F Upton submits reponse to request for comment on draft legislation,etc re Riley Proj under UL87-13.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6012,19910624-0145(partial),1991-06-13,1991-06-18,CP90-316-000CP90-317-000CP91-724-000,"Sen A D'Amato submits LL Helwig 910607 constituent comments re TN,Empire & National Fuel Gas P/L Projs under CP90-316 et al.Availability: Public",19910624-0145(partial)-10842197.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842197; NA,Image; MicroFilm,,,,,,,,,
